sm_id,location,year,month,day,PreSS,ms0,SS,c1,n1,a1,nightcalc,a2,n2,c2,endCivil2SRstart,ms8,EndSRdaystart,SStoSRend
13585,Behchoko,2014,6,1,22:24:00,3600,23:24:00,8310,0,0,0,0,0,8310,4:01:00,480,4:09:00,17100
13585,Behchoko,2014,6,5,22:33:00,3600,23:33:00,7830,0,0,0,0,0,7830,3:54:00,540,4:03:00,16200
13585,Behchoko,2014,6,9,22:40:00,3600,23:40:00,7440,0,0,0,0,0,7440,3:48:00,600,3:58:00,15480
13585,Behchoko,2014,6,13,22:46:00,3600,23:46:00,7170,0,0,0,0,0,7170,3:45:00,600,3:54:00,14940
13585,Behchoko,2014,6,17,22:49:00,3600,23:49:00,7020,0,0,0,0,0,7020,3:43:00,600,3:53:00,14640
13585,Behchoko,2014,6,21,22:51:00,3600,23:51:00,6960,0,0,0,0,0,6960,3:43:00,600,3:53:00,14520
13585,Behchoko,2014,6,25,22:51:00,3600,23:51:00,7050,0,0,0,0,0,7050,3:46:00,600,3:56:00,14700
13585,Behchoko,2014,6,29,22:49:00,3600,23:49:00,7230,0,0,0,0,0,7230,3:50:00,600,4:00:00,15060
13585,Behchoko,2014,7,3,22:44:00,3600,23:44:00,7560,0,0,0,0,0,7560,3:56:00,540,4:05:00,15660
13585,Behchoko,2014,7,7,22:38:00,3600,23:38:00,7980,0,0,0,0,0,7980,4:04:00,540,4:13:00,16500
13585,Behchoko,2014,7,11,22:31:00,3600,23:31:00,8460,0,0,0,0,0,8460,4:13:00,480,4:21:00,17400
13585,Behchoko,2014,7,15,22:22:00,3600,23:22:00,9000,0,0,0,0,0,9000,4:22:00,480,4:30:00,18480
13585,Behchoko,2014,7,19,22:13:00,3600,23:13:00,6600,3000,0,0,0,3000,6600,4:33:00,420,4:40:00,19620
13585,Behchoko,2014,7,23,22:02:00,3600,23:02:00,5670,4590,0,0,0,4590,5670,4:44:00,420,4:51:00,20940
13585,Behchoko,2014,7,27,21:52:00,3600,22:52:00,5010,5880,0,0,0,5880,5010,4:55:00,360,5:01:00,22140
13585,Behchoko,2014,7,31,21:40:00,3600,22:40:00,4560,7020,0,0,0,7020,4560,5:06:00,360,5:12:00,23520
13585,Behchoko,2014,8,4,21:28:00,3600,22:28:00,4230,8070,0,0,0,8070,4230,5:18:00,360,5:24:00,24960
13585,Behchoko,2014,8,8,21:16:00,3600,22:16:00,3930,9060,0,0,0,9060,3930,5:29:00,360,5:35:00,26340
13585,Behchoko,2014,8,12,21:03:00,3600,22:03:00,3690,7200,2820,360,2820,7200,3690,5:40:00,360,5:46:00,28140
13585,Behchoko,2014,8,16,20:51:00,3600,21:51:00,3480,5820,5130,300,5130,5820,3480,5:52:00,300,5:57:00,29460
13585,Behchoko,2014,8,20,20:38:00,3600,21:38:00,3300,5130,6720,300,6720,5130,3300,6:03:00,300,6:08:00,30900
13588,Behchoko,2014,6,1,22:25:00,3600,23:25:00,8250,0,0,0,0,0,8250,4:00:00,480,4:08:00,16980
13588,Behchoko,2014,6,5,22:33:00,3600,23:33:00,7800,0,0,0,0,0,7800,3:53:00,540,4:02:00,16140
13588,Behchoko,2014,6,9,22:40:00,3600,23:40:00,7410,0,0,0,0,0,7410,3:47:00,600,3:57:00,15420
13588,Behchoko,2014,6,13,22:46:00,3600,23:46:00,7110,0,0,0,0,0,7110,3:43:00,600,3:53:00,14820
13588,Behchoko,2014,6,17,22:50:00,3600,23:50:00,6960,0,0,0,0,0,6960,3:42:00,600,3:52:00,14520
13588,Behchoko,2014,6,21,22:52:00,3600,23:52:00,6900,0,0,0,0,0,6900,3:42:00,600,3:52:00,14400
13588,Behchoko,2014,6,25,22:52:00,3600,23:52:00,6990,0,0,0,0,0,6990,3:45:00,540,3:54:00,14520
13588,Behchoko,2014,6,29,22:49:00,3600,23:49:00,7200,0,0,0,0,0,7200,3:49:00,540,3:59:00,14940
