sm_id,location,year,month,day,peentevent_sec,peentTclass,SStoSRend,,,
7524,Black Lake,2014,6,1,8903.531,3.Naut1,12:00:00 AM,,,
7524,Black Lake,2014,6,1,8903.536,3.Naut1,12:00:00 AM,,,
7524,Black Lake,2014,6,5,,0.NoPeent,12:00:00 AM,,,
7524,Black Lake,2014,6,9,,0.NoPeent,12:00:00 AM,,,
7524,Black Lake,2014,6,13,25682.205,9.1hAfterSR,12:00:00 AM,,,
7524,Black Lake,2014,6,13,25682.205,9.1hAfterSR,12:00:00 AM,,,
7524,Black Lake,2014,6,13,25688.44,9.1hAfterSR,12:00:00 AM,,,
7524,Black Lake,2014,6,13,25699.368,9.1hAfterSR,12:00:00 AM,,,
7524,Black Lake,2014,6,17,,0.NoPeent,12:00:00 AM,,,
7524,Black Lake,2014,6,21,,0.NoPeent,12:00:00 AM,,,
7524,Black Lake,2014,6,25,,0.NoPeent,12:00:00 AM,,,
7524,Black Lake,2014,6,29,5624.565,2.Civil1,12:00:00 AM,,,
7524,Black Lake,2014,6,29,7415.275,2.Civil1,12:00:00 AM,,,
7524,Black Lake,2014,6,29,7418.971,2.Civil1,12:00:00 AM,,,
7524,Black Lake,2014,6,29,7418.981,2.Civil1,12:00:00 AM,,,
7524,Black Lake,2014,7,3,,0.NoPeent,12:00:00 AM,,,
7524,Black Lake,2014,7,7,,0.NoPeent,12:00:00 AM,,,
7524,Black Lake,2014,7,11,,0.NoPeent,12:00:00 AM,,,
7524,Black Lake,2014,7,15,,0.NoPeent,12:00:00 AM,,,
7524,Black Lake,2014,7,19,,0.NoPeent,12:00:00 AM,,,
7524,Black Lake,2014,7,23,,0.NoPeent,12:00:00 AM,,,
7524,Black Lake,2014,7,27,,0.NoPeent,12:00:00 AM,,,
7524,Black Lake,2014,7,31,,0.NoPeent,12:00:00 AM,,,
7524,Black Lake,2014,8,4,,0.NoPeent,12:00:00 AM,,,
7524,Black Lake,2014,8,8,,0.NoPeent,12:00:00 AM,,,
7524,Black Lake,2014,8,12,,0.NoPeent,12:00:00 AM,,,
7524,Black Lake,2014,8,16,,0.NoPeent,12:00:00 AM,,,
7524,Black Lake,2014,8,20,,0.NoPeent,12:00:00 AM,,,
7620,Musselwhite,2014,6,1,,0.NoPeent,12:00:00 AM,,,
7620,Musselwhite,2014,6,5,3077.864,1.PreSS,12:00:00 AM,,,
7620,Musselwhite,2014,6,5,3107.008,1.PreSS,12:00:00 AM,,,
7620,Musselwhite,2014,6,5,3129.608,1.PreSS,12:00:00 AM,,,
7620,Musselwhite,2014,6,5,3129.624,1.PreSS,12:00:00 AM,,,
7620,Musselwhite,2014,6,5,3365.384,1.PreSS,12:00:00 AM,,,
7620,Musselwhite,2014,6,5,3365.4,1.PreSS,12:00:00 AM,,,
7620,Musselwhite,2014,6,5,3367.312,1.PreSS,12:00:00 AM,,,
7620,Musselwhite,2014,6,5,3367.32,1.PreSS,12:00:00 AM,,,
7620,Musselwhite,2014,6,5,3369.024,1.PreSS,12:00:00 AM,,,
7620,Musselwhite,2014,6,5,3369.024,1.PreSS,12:00:00 AM,,,
7620,Musselwhite,2014,6,5,3371.08,1.PreSS,12:00:00 AM,,,
7620,Musselwhite,2014,6,5,3371.08,1.PreSS,12:00:00 AM,,,
7620,Musselwhite,2014,6,5,3374.032,1.PreSS,12:00:00 AM,,,
7620,Musselwhite,2014,6,5,3374.04,1.PreSS,12:00:00 AM,,,
7620,Musselwhite,2014,6,5,3376.592,1.PreSS,12:00:00 AM,,,
7620,Musselwhite,2014,6,5,3376.592,1.PreSS,12:00:00 AM,,,
7620,Musselwhite,2014,6,5,6662.464,3.Naut1,12:00:00 AM,,,
7620,Musselwhite,2014,6,5,24274.944,7.Naut2,12:00:00 AM,,,
7620,Musselwhite,2014,6,5,24737.544,7.Naut2,12:00:00 AM,,,
7620,Musselwhite,2014,6,5,24749.872,7.Naut2,12:00:00 AM,,,
7620,Musselwhite,2014,6,5,24758.52,7.Naut2,12:00:00 AM,,,
7620,Musselwhite,2014,6,5,24767.168,7.Naut2,12:00:00 AM,,,
7620,Musselwhite,2014,6,5,24887.856,7.Naut2,12:00:00 AM,,,
7620,Musselwhite,2014,6,5,25010.288,7.Naut2,12:00:00 AM,,,
