sm_id,location,provterr,latitude,longitude,latgroup,year,month,day,TotalDuration_s,DurationRec1_s,DurationRec2_s,InterpretedForBooms,InterpretedForPeents,SS,SR,RecStart,RecEnd,Lag_s,RecFolder
7524,Black Lake,SK,58.93,-105.91,59,12:00:00 AM,12:00:00 AM,1,30595,22369,8226,y,y,11:01:00 PM,5:02:00 AM,10:01:00 PM,6:02:00 AM,7,59_SK_BlackLk_SM7524
7524,Black Lake,SK,58.93,-105.91,59,12:00:00 AM,12:00:00 AM,5,30595,22369,8226,y,y,11:07:00 PM,4:58:00 AM,10:07:00 PM,5:58:00 AM,7,59_SK_BlackLk_SM7524
7524,Black Lake,SK,58.93,-105.91,59,2014,12:00:00 AM,9,30594,12:00:00 AM,8225,y,y,11:12:00 PM,4:55:00 AM,10:12:00 PM,5:55:00 AM,8,59_SK_BlackLk_SM7524
7524,Black Lake,SK,58.93,-105.91,59,12:00:00 AM,12:00:00 AM,13,30595,12:00:00 AM,8226,y,y,11:16:00 PM,4:53:00 AM,10:16:00 PM,5:53:00 AM,8,59_SK_BlackLk_SM7524
7524,Black Lake,SK,58.93,-105.91,59,12:00:00 AM,12:00:00 AM,17,30594,12:00:00 AM,8225,y,y,11:19:00 PM,4:52:00 AM,10:19:00 PM,5:52:00 AM,8,59_SK_BlackLk_SM7524
7524,Black Lake,SK,58.93,-105.91,59,12:00:00 AM,12:00:00 AM,21,30594,12:00:00 AM,8225,y,y,11:20:00 PM,4:52:00 AM,10:20:00 PM,5:52:00 AM,8,59_SK_BlackLk_SM7524
7524,Black Lake,SK,58.93,-105.91,59,12:00:00 AM,12:00:00 AM,25,30595,22369,8226,y,y,11:19:00 PM,4:54:00 AM,10:19:00 PM,5:54:00 AM,8,59_SK_BlackLk_SM7524
7524,Black Lake,SK,58.93,-105.91,59,12:00:00 AM,12:00:00 AM,29,30594,22369,8225,y,y,11:17:00 PM,4:57:00 AM,10:17:00 PM,5:57:00 AM,8,59_SK_BlackLk_SM7524
7524,Black Lake,SK,58.93,-105.91,59,12:00:00 AM,12:00:00 AM,3,,,,x,x,11:13:00 PM,5:01:00 AM,,,,59_SK_BlackLk_SM7524
7524,Black Lake,SK,58.93,-105.91,59,12:00:00 AM,12:00:00 AM,7,,,,x,x,11:13:00 PM,5:07:00 AM,,,,59_SK_BlackLk_SM7524
7524,Black Lake,SK,58.93,-105.91,59,12:00:00 AM,12:00:00 AM,11,,,,x,x,11:03:00 PM,5:13:00 AM,,,,59_SK_BlackLk_SM7524
7524,Black Lake,SK,58.93,-105.91,59,12:00:00 AM,12:00:00 AM,15,,,,x,x,10:56:00 PM,5:20:00 AM,,,,59_SK_BlackLk_SM7524
7524,Black Lake,SK,58.93,-105.91,59,12:00:00 AM,12:00:00 AM,19,,,,x,x,10:56:00 PM,5:27:00 AM,,,,59_SK_BlackLk_SM7524
7524,Black Lake,SK,58.93,-105.91,59,12:00:00 AM,12:00:00 AM,23,,,,x,x,10:48:00 PM,5:35:00 AM,,,,59_SK_BlackLk_SM7524
7524,Black Lake,SK,58.93,-105.91,59,12:00:00 AM,12:00:00 AM,27,,,,x,x,10:40:00 PM,5:44:00 AM,,,,59_SK_BlackLk_SM7524
7524,Black Lake,SK,58.93,-105.91,59,12:00:00 AM,12:00:00 AM,31,,,,x,x,10:31:00 PM,5:53:00 AM,,,,59_SK_BlackLk_SM7524
7524,Black Lake,SK,58.93,-105.91,59,12:00:00 AM,12:00:00 AM,4,,,,x,x,10:22:00 PM,6:01:00 AM,,,,59_SK_BlackLk_SM7524
7524,Black Lake,SK,58.93,-105.91,59,12:00:00 AM,12:00:00 AM,8,,,,x,x,10:12:00 PM,6:11:00 AM,,,,59_SK_BlackLk_SM7524
7524,Black Lake,SK,58.93,-105.91,59,12:00:00 AM,12:00:00 AM,12,,,,x,x,10:02:00 PM,6:20:00 AM,,,,59_SK_BlackLk_SM7524
7524,Black Lake,SK,58.93,-105.91,59,12:00:00 AM,12:00:00 AM,16,,,,x,x,9:51:00 PM,6:29:00 AM,,,,59_SK_BlackLk_SM7524
