sm_id,location,year,month,day,day current format,,,,PreSS,ms0,SS,c1,n1,a1,nightcalc,a2,n2,c2,endCivil2SRstart,ms8,EndSRdaystart,SStoSRend
13585,Behchoko,2014,6,12:00:00 AM,1900-01-daynumber 12:00:00 AM,,,,10:24:00 PM,1:00:00 AM,11:24:00 PM,2:18:30 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,2:18:30 AM,4:01:00 AM,12:08:00 AM,4:09:00 AM,17100
13585,Behchoko,2014,6,12:00:00 AM,,,,,10:33:00 PM,1:00:00 AM,11:33:00 PM,2:10:30 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,2:10:30 AM,3:54:00 AM,12:09:00 AM,4:03:00 AM,16200
13585,Behchoko,2014,6,12:00:00 AM,,,,,10:40:00 PM,1:00:00 AM,11:40:00 PM,2:04:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,2:04:00 AM,3:48:00 AM,12:10:00 AM,3:58:00 AM,15480
13585,Behchoko,2014,6,12:00:00 AM,,,,,10:46:00 PM,1:00:00 AM,11:46:00 PM,1:59:30 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,1:59:30 AM,3:45:00 AM,12:10:00 AM,3:54:00 AM,14940
13585,Behchoko,2014,6,12:00:00 AM,,,,,10:49:00 PM,1:00:00 AM,11:49:00 PM,1:57:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,1:57:00 AM,3:43:00 AM,12:10:00 AM,3:53:00 AM,14640
13585,Behchoko,2014,6,12:00:00 AM,,,,,10:51:00 PM,1:00:00 AM,11:51:00 PM,1:56:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,1:56:00 AM,3:43:00 AM,12:10:00 AM,3:53:00 AM,14520
13585,Behchoko,2014,6,12:00:00 AM,,,,,10:51:00 PM,1:00:00 AM,11:51:00 PM,1:57:30 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,1:57:30 AM,3:46:00 AM,12:10:00 AM,3:56:00 AM,14700
13585,Behchoko,2014,6,12:00:00 AM,,,,,10:49:00 PM,1:00:00 AM,11:49:00 PM,2:00:30 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,2:00:30 AM,3:50:00 AM,12:10:00 AM,4:00:00 AM,15060
13585,Behchoko,2014,7,12:00:00 AM,,,,,10:44:00 PM,1:00:00 AM,11:44:00 PM,2:06:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,2:06:00 AM,3:56:00 AM,12:09:00 AM,4:05:00 AM,15660
13585,Behchoko,2014,7,12:00:00 AM,,,,,10:38:00 PM,1:00:00 AM,11:38:00 PM,2:13:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,2:13:00 AM,4:04:00 AM,12:09:00 AM,4:13:00 AM,16500
13585,Behchoko,2014,7,12:00:00 AM,,,,,10:31:00 PM,1:00:00 AM,11:31:00 PM,2:21:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,2:21:00 AM,4:13:00 AM,12:08:00 AM,4:21:00 AM,17400
13585,Behchoko,2014,7,12:00:00 AM,,,,,10:22:00 PM,1:00:00 AM,11:22:00 PM,2:30:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,2:30:00 AM,4:22:00 AM,12:08:00 AM,4:30:00 AM,18480
13585,Behchoko,2014,7,12:00:00 AM,,,,,10:13:00 PM,1:00:00 AM,11:13:00 PM,1:50:00 AM,12:50:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,12:50:00 AM,1:50:00 AM,4:33:00 AM,12:07:00 AM,4:40:00 AM,19620
13585,Behchoko,2014,7,12:00:00 AM,,,,,10:02:00 PM,1:00:00 AM,11:02:00 PM,1:34:30 AM,1:16:30 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,1:16:30 AM,1:34:30 AM,4:44:00 AM,12:07:00 AM,4:51:00 AM,20940
13585,Behchoko,2014,7,12:00:00 AM,,,,,9:52:00 PM,1:00:00 AM,10:52:00 PM,1:23:30 AM,1:38:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,1:38:00 AM,1:23:30 AM,4:55:00 AM,12:06:00 AM,5:01:00 AM,22140
13585,Behchoko,2014,7,12:00:00 AM,,,,,9:40:00 PM,1:00:00 AM,10:40:00 PM,1:16:00 AM,1:57:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,1:57:00 AM,1:16:00 AM,5:06:00 AM,12:06:00 AM,5:12:00 AM,23520
13585,Behchoko,2014,8,12:00:00 AM,,,,,9:28:00 PM,1:00:00 AM,10:28:00 PM,1:10:30 AM,2:14:30 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,2:14:30 AM,1:10:30 AM,5:18:00 AM,12:06:00 AM,5:24:00 AM,24960
13585,Behchoko,2014,8,12:00:00 AM,,,,,9:16:00 PM,1:00:00 AM,10:16:00 PM,1:05:30 AM,2:31:00 AM,12:00:00 AM,12:00:00 AM,12:00:00 AM,2:31:00 AM,1:05:30 AM,5:29:00 AM,12:06:00 AM,5:35:00 AM,26340
