X,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,duration,visits
psi(Int),0.392051182,0.391721325,0.392611735,0.392391648,0.348107503,0.348049652,0.348505962,0.348002852,0.436132313,0.348266627,0.392611735,0.391721319,0.391721319,0.392611735,0.347878298,0.30457099,0.392206562,0.348049652,0.391531005,0.48120766,0.347892105,0.348002852,0.393549623,0.392391648,0.436132313,0.436656121,0.348049652,0.348049652,0.392206562,0.304827696,0.348266627,0.391920988,0.39318281,0.348107503,0.480822826,0.48120766,0.347878298,0.435467795,0.436132313,0.392873029,0.347892105,0.525484046,0.438929218,0.347911152,0.439626785,0.392206562,0.482762152,0.480822826,0.480493753,0.392206562,0.391920988,0.349386965,0.436132313,0.391645725,0.392051182,0.391645725,0.436132313,0.39318281,0.436656121,0.436374121,0.391582967,0.348107503,0.484224054,0.393549623,0.392873029,0.482169227,0.348266627,0.435748082,0.392611735,0.347966539,0.392873029,0.348049652,0.39318281,0.436132313,0.483443291,0.392206562,0.391645725,0.392206562,0.391920988,0.480822826,0.392206562,0.392206562,0.348666442,0.391812145,0.348505962,0.436656121,0.436656121,0.393549623,0.436656121,0.347835729,0.436656121,0.438929218,0.437367019,0.391812123,0.391812145,0.348178861,0.391920988,0.435748081,0.392206562,0.436374121,10,12
p(Int),0.406631295,0.434721911,0.378365528,0.387811306,0.447554655,0.458039017,0.405457518,0.468511914,0.382147018,0.426543056,0.378365528,0.434721919,0.434721919,0.378365528,0.520757017,0.452049772,0.397232252,0.458039017,0.462694919,0.346362598,0.510319573,0.468511914,0.349844786,0.387811306,0.382147018,0.365093444,0.458039017,0.458039017,0.397232252,0.416011073,0.426543056,0.416011064,0.359386089,0.447554655,0.354180743,0.346362598,0.520757017,0.41601106,0.382147018,0.368891662,0.510319573,0.337880624,0.321929703,0.499877533,0.313177384,0.397232252,0.32272271,0.354180743,0.361971274,0.397232252,0.416011064,0.362954639,0.382147018,0.444057017,0.406631295,0.444057017,0.382147018,0.359386089,0.365093444,0.37363232,0.453380854,0.447554655,0.306781803,0.349844786,0.368891662,0.330636022,0.426543056,0.399113721,0.378365528,0.478974798,0.368891662,0.458039017,0.359386089,0.382147018,0.314772093,0.397232252,0.444057017,0.397232252,0.416011064,0.354180743,0.397232252,0.397232252,0.394879082,0.425373888,0.405457518,0.365093444,0.365093444,0.349844786,0.365093444,0.583317177,0.365093444,0.321929703,0.347931836,0.425373914,0.425373888,0.437056771,0.416011064,0.399113716,0.397232252,0.37363232,10,12
psi(Int),0.391374462,0.391482876,0.347853943,0.39134369,0.347848201,0.435198423,0.347909236,0.478870368,0.391482876,0.435198423,0.435003473,0.435198423,0.391362208,0.347839604,0.478662001,0.391389199,0.391406881,0.434920245,0.478429374,0.347880259,0.347843448,0.434899928,0.391389199,0.435198423,0.391453092,0.391336628,0.434920245,0.435129775,0.347880259,0.391482876,0.391518158,0.478720817,0.391352095,0.391362208,0.391482876,0.435176392,0.391374462,0.391609097,0.478870368,0.435129775,0.435003473,0.391374462,0.523632189,0.522766852,0.43497149,0.43497149,0.43488253,0.391482876,0.391389199,0.478662001,0.435198423,0.347834802,0.391374462,0.435198423,0.436064384,0.478609015,0.347837154,0.347880259,0.435735917,0.391352095,0.391374462,0.391518158,0.479324272,0.347860996,0.43560342,0.391389199,0.434920245,0.391406881,0.391406881,0.478662001,0.435003473,0.347869662,0.391427988,0.434943933,0.435176392,0.434899928,0.434943933,0.391389207,0.391453092,0.435238171,0.435278502,0.435278502,0.347853943,0.347880259,0.43485487,0.435003473,0.435198423,0.347869653,0.391815566,0.391336628,0.347869664,0.4789618,0.391667101,0.435488842,0.434920245,0.347848201,0.47906645,0.434943933,0.347839604,0.47906645,10,16
p(Int),0.416591646,0.381770625,0.445276685,0.437455985,0.453095924,0.362252184,0.40615286,0.340473496,0.381770625,0.362252184,0.374809609,0.362252184,0.423548148,0.468731268,0.357654062,0.409632994,0.40267202,0.393623341,0.391909177,0.421809189,0.460913879,0.399890035,0.409632994,0.362252184,0.388741242,0.444407808,0.393623341,0.368534029,0.421809189,0.381770625,0.374795835,0.351931505,0.430502873,0.423548148,0.381770625,0.349650346,0.416591646,0.360831288,0.340473496,0.368534029,0.374809609,0.416591646,0.295767657,0.322274854,0.3810834,0.3810834,0.40615484,0.381770625,0.409632994,0.357654062,0.362252184,0.484362949,0.416591646,0.362252184,0.305349797,0.363371976,0.476547324,0.421809189,0.318052622,0.430502873,0.416591646,0.374795835,0.317483087,0.437455989,0.324387596,0.409632994,0.393623341,0.40267202,0.40267202,0.357654062,0.374809609,0.429633613,0.395708193,0.387354545,0.349650346,0.399890035,0.387354545,0.409633047,0.388741242,0.343348631,0.355965885,0.355965885,0.445276685,0.421809189,0.418679471,0.374809609,0.362252184,0.429633607,0.339835783,0.444407808,0.429633614,0.334735171,0.353840118,0.330712511,0.393623341,0.453095924,0.328990932,0.387354545,0.468731268,0.328990932,10,16
psi(Int),0.434818624,0.478333516,0.435039698,0.434824859,0.52203087,0.434824859,0.478598183,0.478358145,0.478598183,0.347831003,0.391307902,0.435095435,0.391301618,0.391312118,0.391312523,0.391295521,0.478410095,0.391306159,0.347830178,0.435045934,0.478410095,0.391312118,0.434813262,0.478358145,0.434798508,0.434907373,0.478759596,0.478495042,0.478645831,0.478495042,0.478373199,0.435095435,0.391312523,0.391312118,0.522161373,0.391277984,0.478390417,0.435179175,0.434818627,0.347830814,0.435045934,0.43480468,0.434818623,0.478471535,0.478410095,0.43480864,0.391309327,0.434818623,0.43480468,0.391309327,0.435179175,0.435045934,0.347829859,0.434813262,0.478373199,0.478358145,0.435138111,0.522212453,0.435045934,0.391312523,0.478373199,0.47868915,0.391306159,0.478520648,0.43480468,0.435045934,0.347826614,0.435039698,0.347830178,0.434818627,0.43480468,0.347836566,0.391301618,0.391312317,0.391306159,0.347828722,0.391287693,0.435113687,0.391309327,0.347829859,0.435179175,0.478520648,0.435113687,0.478410095,0.478495042,0.347829859,0.521850244,0.347830274,0.478390417,0.434824859,0.478307155,0.391301618,0.391311315,0.391309327,0.435138111,0.435179175,0.522067989,0.43480864,0.478333516,0.478373199,10,20
p(Int),0.374968925,0.354488163,0.349969606,0.36996404,0.312325315,0.36996404,0.304330783,0.345381157,0.304330783,0.412490458,0.438884792,0.344948704,0.383326239,0.416659651,0.411103402,0.377772486,0.331712591,0.388880737,0.41874197,0.354969957,0.331712591,0.416659651,0.379973177,0.345381157,0.399985364,0.334903878,0.290606038,0.31801346,0.299758836,0.31801346,0.340826168,0.344948704,0.411103402,0.416659651,0.299759466,0.366667824,0.336270026,0.365008437,0.374968923,0.424993335,0.354969957,0.389980122,0.374968925,0.322692803,0.331712591,0.384976893,0.394435834,0.374968926,0.389980122,0.394435834,0.365008437,0.354969957,0.437495616,0.379973177,0.340826168,0.345381157,0.339956117,0.295565261,0.354969957,0.411103402,0.340826168,0.295189402,0.388880737,0.313466179,0.389980122,0.354969957,0.487499243,0.349969606,0.41874197,0.374968923,0.389980122,0.406238214,0.383326239,0.405547284,0.388880737,0.443746326,0.372219629,0.359983531,0.394435834,0.437495616,0.365008437,0.313466179,0.359983531,0.331712591,0.31801346,0.437495616,0.345762685,0.431244552,0.336270026,0.36996404,0.368142778,0.383326239,0.399991392,0.394435834,0.339956117,0.365008437,0.308138494,0.384976893,0.354488163,0.340826168,10,20
psi(Int),0.371547281,0.394630129,0.489821234,0.68844354,0.371547281,0.285846027,0.178004404,0.300247014,0.394630135,0.317670457,0.313199588,0.394630135,0.324117092,0.333487816,0.402869146,0.182313087,0.368583773,0.368583773,0.26700635,0.371547279,0.262921017,0.313199588,0.333487816,0.276746625,0.317670457,0.300247014,0.347366998,0.178004404,0.313199588,0.324117093,0.317670457,0.219317933,0.324117094,0.324117093,0.428756624,0.317670457,0.364648362,0.367250801,0.347366998,0.364648369,0.414118513,0.25338671,0.489821234,0.381133628,0.270853442,0.264509864,0.443382089,0.313199588,0.394630129,0.414118512,0.371547281,0.364648369,0.285846027,0.324117094,0.285846027,0.219317933,0.276746625,0.486228802,0.317670457,0.317670467,0.310101454,0.489821234,0.313199588,0.324117092,0.381133628,0.371547279,0.371547279,0.368583773,0.270853441,0.310101454,0.37154728,0.414118512,0.371547279,0.276746621,0.270853437,0.506773474,0.364648369,0.285846027,0.37154728,0.368583773,0.262921017,0.324117093,0.300247014,0.221148956,0.394630135,0.276746625,0.300247014,0.224265431,0.414118513,0.264509864,0.530438751,0.26700635,0.371547281,0.460272132,0.270853441,0.333487816,0.25338671,0.285846027,0.347366998,0.324117093,10,4
p(Int),0.497332662,0.413155166,0.266320613,0.189463327,0.497332662,0.456311622,0.610663154,0.398226153,0.413155168,0.547463664,0.589984154,0.413155168,0.503038786,0.456308316,0.296788541,0.536601382,0.353880048,0.353880048,0.610635136,0.49733267,0.702807336,0.589984154,0.456308316,0.51059108,0.547463664,0.398226153,0.406797188,0.610663154,0.589984154,0.503038787,0.547463664,0.693850798,0.503038787,0.503038787,0.456333801,0.547463664,0.536550252,0.266373949,0.406797188,0.536550253,0.367464706,0.38607423,0.266320613,0.456313931,0.561831157,0.657491894,0.318713191,0.589984154,0.413155166,0.367464706,0.497332662,0.536550253,0.456311622,0.503038787,0.456311622,0.693850798,0.51059108,0.335267005,0.547463664,0.547463663,0.630929396,0.266320613,0.589984154,0.503038786,0.456313931,0.49733267,0.49733267,0.353880048,0.561831154,0.630929396,0.497332668,0.367464706,0.49733267,0.510591081,0.561831143,0.386074226,0.536550253,0.456311622,0.497332668,0.353880048,0.702807336,0.503038787,0.398226153,0.638955419,0.413155168,0.51059108,0.398226153,0.581613764,0.367464706,0.657491894,0.348442692,0.610635136,0.497332662,0.377858709,0.561831154,0.456308316,0.38607423,0.456311622,0.406797188,0.503038787,10,4
psi(Int),0.352584664,0.397088945,0.442991292,0.40426482,0.304722765,0.398397926,0.349234933,0.305262397,0.398397926,0.349234927,0.395117523,0.351591703,0.448883548,0.396007859,0.307231152,0.349642279,0.448883548,0.350154098,0.307231152,0.395117523,0.40426482,0.357257725,0.357257725,0.393293976,0.349642279,0.396007859,0.351591703,0.392889305,0.399990688,0.305580555,0.308112043,0.348656494,0.496232529,0.312605788,0.306525611,0.350793618,0.396007859,0.308112043,0.349234927,0.483011541,0.392299794,0.352584664,0.351591703,0.397088945,0.357257725,0.395117523,0.393293976,0.350793618,0.397088945,0.350154098,0.353818815,0.348911631,0.351591703,0.305262397,0.442991292,0.352584664,0.352584664,0.399990688,0.353818815,0.307231152,0.305262397,0.305995025,0.489277441,0.399990688,0.26161491,0.349642279,0.444626398,0.401920796,0.353818815,0.305580555,0.401920796,0.352584664,0.307231152,0.437991288,0.401920796,0.393784044,0.351591703,0.305580553,0.305995023,0.353818815,0.397088945,0.395117523,0.350793618,0.407114713,0.399990688,0.306525611,0.306525611,0.30501987,0.349234933,0.350793618,0.357257725,0.353818815,0.352584664,0.394385316,0.40426482,0.305995025,0.444626398,0.41058268,0.30501987,0.30501987,10,8
p(Int),0.416180759,0.410598261,0.392588268,0.349541981,0.570784414,0.395604969,0.497982939,0.516305507,0.395604969,0.49798294,0.440155436,0.432813863,0.351109479,0.425442298,0.442238911,0.481858652,0.351109479,0.465631846,0.442238911,0.44015543,0.349541981,0.365087741,0.365087741,0.483653168,0.481858652,0.4254423,0.432813863,0.497982934,0.380446999,0.497982944,0.423295023,0.52998468,0.339514682,0.365072778,0.46097845,0.449291636,0.425442298,0.423295023,0.49798294,0.438822881,0.526444252,0.416180759,0.432813863,0.410598261,0.365087741,0.440155436,0.483653168,0.449291636,0.410598261,0.465631846,0.39936756,0.514020726,0.432813863,0.516305507,0.392588268,0.416180759,0.416180759,0.380446999,0.39936756,0.442238911,0.516305507,0.479547318,0.377666825,0.380446999,0.51934888,0.481858652,0.378921189,0.365099983,0.39936756,0.497982944,0.365099983,0.416180759,0.442238911,0.459111774,0.365099983,0.469248665,0.432813863,0.497982944,0.479547318,0.39936756,0.410598261,0.440155436,0.449291636,0.333748262,0.380446999,0.46097845,0.46097845,0.534533849,0.497982939,0.449291636,0.365087741,0.39936756,0.416180759,0.454752969,0.349541981,0.479547318,0.378921189,0.317693735,0.534533849,0.534533849,10,8
