X,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,duration,visits
psi(Int),0.03888083,0.008591145,0.03888083,-0.220863689,-0.447143615,0.012691525,0.007038104,0.022384247,-0.208990183,0.012691525,0.012691525,0.022384247,-0.218475933,-0.220863689,-0.217272127,0.022384247,0.507544176,0.007038104,-0.211728048,-0.449821847,0.48237043,-0.211728048,0.277725295,-0.20564365,0.026943308,-0.450779187,-0.22252789,-0.451330514,0.018564902,0.015366895,-0.217272129,-0.220233946,0.251338783,-0.220233947,0.256443018,-0.221366764,-0.215788357,-0.215788357,-0.217272129,0.012691525,0.246988124,-0.450779189,0.010456103,0.251338786,-0.220863666,0.018564902,-0.221767186,-0.215788357,0.24328034,0.022384247,-0.221366765,0.012691525,0.008591146,0.022384247,-0.218475933,0.48237043,-0.218475933,-0.220863689,-0.687867837,-0.215788357,-0.220233955,-0.217272129,0.24328034,0.04664313,-0.213964579,0.018564902,0.003063262,0.03888083,0.015366909,-0.220863689,0.012691529,-0.211728048,0.008591146,0.015366898,-0.218475922,0.022384247,0.012691525,0.026943308,-0.451092212,0.005747539,0.240121814,-0.213964579,0.256443018,0.022384247,0.018564902,-0.220863689,-0.219449455,0.237433064,-0.215788357,0.022384247,-0.448271124,-0.220233955,-0.449153263,0.018564902,0.233206721,-0.221767196,-0.217272127,-0.445711225,-0.213964579,-0.211728048,10,10
p(Int),-0.721886625,-0.321064884,-0.721886625,-0.052479193,-0.234870866,-0.415985795,-0.274455144,-0.564060524,-0.470595376,-0.415985791,-0.415985795,-0.564060524,-0.205375562,-0.052479193,-0.257098513,-0.564060524,-0.751960372,-0.274455144,-0.415985278,-0.059704977,-0.577948881,-0.415985278,-0.788712454,-0.5262698,-0.615395099,0.055642047,0.199910861,0.170974084,-0.513798803,-0.464479463,-0.25709849,-0.103158193,-0.59472349,-0.103158181,-0.641509424,-0.001972484,-0.309365087,-0.309365097,-0.25709849,-0.415985792,-0.54887565,0.055642048,-0.368212726,-0.594723465,-0.052479197,-0.513798803,0.048442717,-0.309365087,-0.503863499,-0.564060524,-0.001972482,-0.415985795,-0.321064886,-0.564060524,-0.205375562,-0.577948881,-0.205375562,-0.052479193,-0.274453491,-0.309365087,-0.103158136,-0.25709849,-0.503863499,-0.777402565,-0.362286703,-0.513798803,-0.091877766,-0.721886625,-0.46447949,-0.052479193,-0.415985811,-0.415985278,-0.321064886,-0.464479468,-0.205375617,-0.564060524,-0.415985792,-0.615395099,0.113252815,-0.228303356,-0.459594735,-0.362286699,-0.641509418,-0.564060524,-0.513798803,-0.052479193,-0.154093886,-0.415985744,-0.309365097,-0.564060524,-0.176023989,-0.103158136,-0.117681017,-0.513798803,-0.330449113,0.048442723,-0.257098509,-0.294369782,-0.362286702,-0.415985276,10,10
psi(Int),0.006915147,-0.221697756,0.010092759,0.003275263,0.231567921,0.231567921,-0.217473235,0.463944201,0.010092759,0.02505156,0.227321623,0.003840124,-0.219489478,0.460757565,0.005701383,0.006915147,-0.220226813,-0.450748008,0.005701383,0.473835771,0.008364599,-0.219489478,-0.221308369,0.006915147,-0.222259483,0.233129217,-0.217473224,0.004686749,0.231567896,0.242518791,0.228139996,0.002685331,0.228139996,0.231567921,0.003275263,0.002685331,0.491255241,-0.221308381,0.008364599,-0.221308381,-0.219489483,0.254557539,-0.212448538,0.004686749,-0.219489483,0.004686749,-0.217473235,0.22662854,-0.220824902,-0.449877298,-0.212448539,-0.448443776,0.002685331,0.473835771,-0.216116406,-0.221308381,-0.220226813,-0.217473235,0.005701383,-0.450748008,-0.220226813,0.006915147,-0.222614658,0.008364599,0.237097115,0.017504295,-0.222614697,-0.219489483,-0.217473235,0.003840124,0.006915147,0.004686749,-0.220824888,-0.219489483,0.491255241,-0.222010154,0.242518791,-0.218583432,0.239597012,0.254557539,0.242518791,-0.221697753,0.008364599,0.005701383,0.245929196,0.497383486,-0.216116403,-0.218583432,-0.221697753,0.233129227,0.237097115,0.237097115,0.245929196,-0.219489483,-0.222457912,0.014597221,-0.219489478,0.004686749,0.234957769,0.017504295,10,11
p(Int),-0.394462587,-0.092507349,-0.481462731,-0.225985815,-0.411683056,-0.411683056,-0.373043308,-0.46148307,-0.481462731,-0.711770976,-0.259221336,-0.267562637,-0.278004099,-0.390557196,-0.35174532,-0.394462587,-0.231165002,-0.079405097,-0.35174532,-0.608570745,-0.437679061,-0.278004099,-0.13848287,-0.394462587,-0.00098188,-0.450748386,-0.373043395,-0.309464658,-0.411683079,-0.61235626,-0.29685506,-0.184682056,-0.29685506,-0.411683056,-0.225985815,-0.184682056,-0.765337318,-0.138482847,-0.437679061,-0.138482847,-0.278004078,-0.741046842,-0.520292902,-0.309464658,-0.278004078,-0.309464658,-0.373043308,-0.221842052,-0.184680668,-0.184680637,-0.520292882,-0.291461603,-0.184682056,-0.608570745,-0.421407503,-0.138482847,-0.231165002,-0.373043308,-0.35174532,-0.079405097,-0.231165002,-0.394462587,0.090356301,-0.437679061,-0.530364691,-0.616997247,0.090356327,-0.278004078,-0.373043308,-0.267562637,-0.394462587,-0.309464658,-0.184680701,-0.278004078,-0.765337318,-0.04669315,-0.61235626,-0.325270643,-0.571031328,-0.741046842,-0.61235626,-0.092507336,-0.437679061,-0.35174532,-0.654412121,-0.806524552,-0.421407535,-0.325270643,-0.092507336,-0.450748379,-0.530364691,-0.530364691,-0.654412121,-0.278004078,0.044682964,-0.571036003,-0.278004099,-0.309464658,-0.490290502,-0.616997247,10,11
psi(Int),0.241513566,0.230131084,0.008011701,0.003151867,0.232844372,0.008011701,0.003151867,-0.220307366,-0.219626515,0.004611226,0.019408115,-0.220864129,0.238833343,0.230131084,-0.221318195,0.244628639,0.004611227,-0.222702706,0.005556736,0.467745013,0.019408115,0.008011701,0.004611227,0.465610079,0.003151867,-0.222228007,0.227358022,0.470195285,0.489035344,0.232844372,0.002131271,0.002595475,0.230131084,-0.451762248,0.004611226,0.001744906,-0.220864129,-0.220307366,-0.221318195,0.226690128,0.225638543,0.003817232,0.008011701,0.227358022,-0.451065756,0.011826771,0.001424154,0.006680123,0.227358022,0.004611226,-0.218796104,0.476230675,0.003151867,0.236528122,-0.221687518,0.479926008,-0.221687518,0.002131266,0.008011701,-0.219626515,-0.221986597,0.003151867,-0.218796104,0.232844372,0.236528122,0.005556736,0.006680123,-0.217784372,0.003817233,0.226690128,0.232844372,0.231383529,0.004611227,0.008011701,0.006680123,0.001744903,0.003817234,-0.220864121,0.238833343,0.003151867,-0.220307366,-0.451762248,-0.221318188,0.002131267,0.004611226,-0.221687518,0.00958041,0.005556736,0.002131271,0.236528122,0.234546532,-0.221986597,0.003817234,0.001744906,0.008011701,0.006680123,0.006680123,0.231383529,0.241513566,0.006680123,10,12
p(Int),-0.705306788,-0.480445117,-0.536974413,-0.339170182,-0.553324497,-0.536974413,-0.339170182,-0.339170186,-0.382775856,-0.417010728,-0.749365622,-0.295969038,-0.666402976,-0.480445117,-0.253115456,-0.744917784,-0.417010721,-0.000489745,-0.456521212,-0.635053897,-0.749365622,-0.536974413,-0.417010721,-0.600687601,-0.339170182,-0.126119565,-0.374019626,-0.66991223,-0.853281933,-0.553324497,-0.262611142,-0.300751018,-0.480445117,0.095024163,-0.417010728,-0.224712712,-0.295969038,-0.339170186,-0.253115456,-0.339170215,-0.270218634,-0.377909097,-0.536974413,-0.374019626,-0.144149826,-0.619719409,-0.187019772,-0.49648966,-0.374019626,-0.417010728,-0.426847795,-0.7412857,-0.339170182,-0.628142518,-0.210555846,-0.777901547,-0.210555846,-0.262611206,-0.536974413,-0.382775856,-0.168239552,-0.339170182,-0.426847795,-0.553324497,-0.628142518,-0.456521213,-0.49648966,-0.471453801,-0.377909094,-0.339170239,-0.553324497,-0.516665325,-0.417010727,-0.536974413,-0.49648966,-0.224712754,-0.377909081,-0.295969012,-0.666402976,-0.339170182,-0.339170186,0.095024163,-0.253115443,-0.262611193,-0.417010728,-0.210555846,-0.578028406,-0.456521213,-0.262611142,-0.628142518,-0.590467362,-0.168239552,-0.377909081,-0.224712712,-0.536974413,-0.49648966,-0.49648966,-0.516665325,-0.705306788,-0.49648966,10,12
psi(Int),0.006334662,0.228892925,0.461871916,0.004428422,-0.222415422,0.232418526,0.003070507,0.720008684,0.231062709,0.001435173,-0.222415312,0.003070507,0.000966432,0.226659928,-0.219071607,0.233992364,0.228892925,-0.451459909,-0.220957927,0.000966432,0.461871916,0.231062709,0.002548199,0.003070507,0.723647049,0.001742322,0.235817537,0.233992364,-0.221377224,0.005301601,-0.221377224,0.227292897,0.000966432,-0.219826308,0.232418526,-0.222861531,0.232418526,0.003691471,-0.219826308,0.231062709,0.001435174,0.001742322,0.001435174,-0.22222967,0.003070507,-0.222686378,0.713942832,-0.222001091,0.000966432,0.240381569,0.001435174,0.001742322,0.235817537,0.001178967,0.231062709,-0.221720642,-0.220957927,0.225654824,0.233992364,0.227292897,0.228031653,0.225259771,0.226659928,0.474970907,0.001742322,0.228892925,0.474970907,0.22611822,0.226659928,-0.218156798,0.007555297,0.457495727,0.228031653,0.005301601,0.228892925,0.233992364,0.22989593,0.232418526,0.000788999,-0.22297265,0.224923058,-0.221377224,0.231062709,0.459385124,0.227292897,-0.222686364,0.003070507,0.002109707,0.003070507,0.231062709,0.467124184,-0.222001208,0.232418526,0.000788999,0.003070507,-0.222415312,-0.222001208,-0.219071607,0.001435173,0.001742322,10,13
p(Int),-0.584747952,-0.539563676,-0.626458716,-0.509812748,-0.19364155,-0.642272963,-0.436565486,-0.823711423,-0.607608787,-0.293922024,-0.193641548,-0.436565483,-0.224009764,-0.440192257,-0.514442846,-0.677416903,-0.539563676,-0.154746817,-0.39150254,-0.224009764,-0.626458716,-0.607608787,-0.400475165,-0.436565483,-0.855556637,-0.329185312,-0.713083834,-0.677416903,-0.351347017,-0.547047848,-0.351347017,-0.472998026,-0.224009764,-0.472996798,-0.642272963,-0.038773737,-0.642272963,-0.472998804,-0.472996798,-0.607608787,-0.293922006,-0.329185312,-0.293922006,-0.232711586,-0.436565483,-0.11599294,-0.761528512,-0.271993437,-0.224009764,-0.786179615,-0.293922006,-0.329185306,-0.713083834,-0.258873619,-0.607608787,-0.311524909,-0.39150254,-0.375397399,-0.677416903,-0.472998026,-0.506112017,-0.343357345,-0.440192257,-0.82371482,-0.329185312,-0.539563676,-0.82371482,-0.40766717,-0.440192257,-0.556428007,-0.622960645,-0.503088051,-0.506112017,-0.547047851,-0.539563676,-0.677416903,-0.573384598,-0.642272963,-0.189310996,0.038272654,-0.311524967,-0.351347017,-0.607608787,-0.564121872,-0.472998026,-0.115992931,-0.436565486,-0.364692719,-0.436565483,-0.607608787,-0.722906347,-0.271993206,-0.642272963,-0.189310996,-0.436565483,-0.193641548,-0.271993206,-0.514442846,-0.293922024,-0.329185305,10,13
psi(Int),0.22594722,0.002046368,0.458281838,-0.222251929,0.227015712,0.004987978,0.229429233,0.22594722,0.001166234,0.004187781,0.002940787,-0.222426513,-0.222914974,-0.222568865,-0.222568864,0.453896197,0.001701663,0.000443126,0.224197836,0.464691295,0.224871957,0.001166234,0.001701663,0.000535126,0.004987978,0.002046368,0.229429233,-0.223058142,-0.222684603,0.002046368,0.002940787,0.229429233,0.225530143,0.000652819,0.22849386,0.229429233,0.224612424,0.225175061,0.000443126,0.227695462,0.004187781,0.001701663,0.003509571,0.002046368,-0.222915008,0.000794159,0.001166234,0.227015712,-0.222568865,0.22849386,0.002455661,-0.22204033,-0.222426513,0.000289801,0.224871957,0.457435739,0.001166234,0.229429233,0.22594722,-0.222568865,0.22849386,0.002455661,-0.222778441,0.000794159,0.001166234,0.001411893,0.230521671,0.225530143,0.000963555,-0.221463303,0.223890575,-0.222568864,0.001411893,-0.222426513,0.226437963,0.000963555,0.22594722,0.455004797,0.000794159,-0.222251929,0.459249714,0.224389563,-0.222684603,0.22594722,0.229429233,0.002940787,0.227015712,0.226437963,-0.22204033,0.456697085,-0.222963854,0.002940787,0.464691295,-0.222684578,0.457435739,0.458281838,-0.223002665,0.225175061,-0.22303362,0.227695462,10,14
p(Int),-0.497684407,-0.453656973,-0.619880023,-0.325091782,-0.559595986,-0.626358936,-0.654904202,-0.497684407,-0.353816295,-0.591043089,-0.521640422,-0.288377876,-0.107486476,-0.251880888,-0.25188088,-0.395895876,-0.42011926,-0.191439186,-0.31772863,-0.769199507,-0.406775145,-0.353816295,-0.42011926,-0.223625281,-0.626358936,-0.453656973,-0.654904202,0.035621441,-0.215571189,-0.453656973,-0.521640422,-0.654904202,-0.467142074,-0.255926298,-0.622773211,-0.654904202,-0.376910734,-0.43684582,-0.191439186,-0.591013318,-0.591043089,-0.42011926,-0.556149843,-0.453656973,-0.107486447,-0.28837771,-0.353816295,-0.559595986,-0.251880888,-0.622773211,-0.487487685,-0.36205296,-0.288377876,-0.12742619,-0.406775145,-0.591023666,-0.353816298,-0.654904202,-0.497684407,-0.251880888,-0.622773211,-0.487487685,-0.179420244,-0.288377712,-0.353816294,-0.386847349,-0.687437002,-0.467142074,-0.321000424,-0.436854512,-0.259164586,-0.251880882,-0.386847349,-0.288377876,-0.528494628,-0.321000421,-0.497684407,-0.478226889,-0.288377712,-0.325091782,-0.649039884,-0.347234332,-0.215571189,-0.497684407,-0.654904202,-0.521640422,-0.559595986,-0.528494628,-0.36205296,-0.562449476,-0.071651916,-0.521640422,-0.769199507,-0.215571099,-0.591023666,-0.619880023,-0.035871909,-0.43684582,-0.000122133,-0.591013318,10,14
