X,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,duration,visits
psi(Int),0.562505994,0.501436881,0.501759519,0.509718983,0.55851721,0.501436881,0.561435038,0.445894647,0.617289227,0.44559724,0.502147773,0.503172839,0.501759519,0.619484208,0.445597242,0.559743668,0.390040111,0.445894647,0.50049362,0.445356753,0.50673542,0.445894647,0.563761707,0.452530904,0.559743668,0.389562104,0.50673542,0.622414295,0.445162981,0.502147773,0.389403124,0.445894647,0.504641092,0.502614002,0.393991657,0.505595828,0.4448832,0.502147773,0.446711998,0.558038879,0.389175526,0.559080972,0.444706162,0.445894647,0.447264845,0.445894647,0.505595828,0.503841648,0.622414295,0.559080971,0.556996574,0.447264845,0.503841648,0.561435038,0.501759519,0.445356753,0.562505994,0.445356755,0.502147773,0.614989134,0.445162981,0.505595828,0.504641092,0.447264845,0.444706162,0.505595828,0.560521879,0.501759519,0.500765815,0.501759519,0.557287712,0.509718983,0.502147773,0.503172839,0.445356753,0.619484208,0.558517209,0.504641092,0.501759519,0.448769502,0.501436881,0.563761707,0.445894648,0.563761707,0.445356753,0.448769502,0.445356753,0.446261276,0.502147773,0.50673542,0.445894647,0.447941795,0.501436881,0.57748084,0.503841648,0.389403124,0.561435037,0.444706162,0.445894647,0.445597242,10,10
p(Int),0.355551808,0.443170784,0.431813693,0.326977671,0.407825898,0.443170787,0.36612531,0.436077097,0.368997294,0.448835821,0.420416248,0.397477712,0.431813693,0.349754032,0.448835808,0.387081968,0.44155073,0.436077097,0.499505479,0.461552576,0.350829487,0.436077097,0.344905414,0.331488987,0.387081969,0.470613652,0.350829487,0.330256016,0.474233298,0.420416248,0.485078188,0.436077097,0.37430342,0.408972959,0.352518713,0.362608454,0.49950688,0.420416249,0.410406133,0.418131351,0.513906922,0.397477724,0.524691017,0.436077097,0.397477836,0.436077097,0.362608454,0.38592371,0.330256016,0.397477723,0.448835818,0.397477836,0.38592371,0.36612531,0.431813692,0.461552576,0.355551802,0.461552571,0.420416249,0.397477727,0.474233298,0.362608454,0.37430342,0.397477836,0.524691017,0.362608454,0.376633165,0.431813692,0.477046703,0.431813691,0.438632571,0.326977671,0.420416248,0.397477713,0.461552576,0.349754032,0.407825894,0.37430342,0.431813692,0.371387317,0.443170786,0.344905413,0.436077091,0.344905412,0.461552576,0.371387317,0.461552576,0.423269722,0.420416249,0.350829487,0.436077097,0.384475336,0.443170786,0.278989417,0.38592371,0.485078188,0.366125306,0.524691017,0.436077097,0.448835808,10,10
psi(Int),0.446589069,0.445844962,0.503037547,0.445017024,0.506262563,0.445570683,0.444575039,0.444662744,0.500671332,0.502523168,0.500519111,0.38895554,0.50172878,0.620402091,0.445570683,0.504375962,0.500671332,0.500422346,0.503037547,0.444662738,0.50096003,0.444897619,0.444662736,0.558998155,0.44480146,0.445570685,0.445346866,0.447086733,0.56463179,0.62350102,0.501171685,0.445017024,0.445017024,0.560334272,0.389106636,0.500671332,0.504375962,0.50172878,0.44480146,0.563297947,0.502091138,0.500671332,0.502523168,0.561174285,0.444897622,0.502523168,0.558998155,0.503037547,0.560334272,0.557026903,0.446180213,0.557026903,0.449316215,0.38938994,0.444662744,0.614416785,0.557634663,0.502091138,0.557026903,0.446180213,0.444897619,0.389272019,0.559614337,0.559614337,0.502523168,0.557306217,0.445164743,0.500818815,0.503037547,0.444801459,0.557026903,0.618060459,0.50172878,0.444724319,0.500422346,0.445017024,0.44584496,0.44480146,0.445570683,0.500341526,0.559614337,0.445346866,0.501425342,0.500671332,0.444897619,0.50096003,0.444897622,0.389106636,0.445570683,0.502091138,0.556586937,0.500818815,0.50172878,0.445164743,0.618060459,0.501425342,0.38901408,0.50172878,0.614955632,0.445346867,10,11
p(Int),0.38450822,0.407805839,0.37147649,0.453960614,0.329207637,0.419391792,0.522573719,0.49975453,0.45396027,0.381906782,0.464162026,0.545360973,0.402643487,0.3174886,0.419391792,0.350464688,0.45396027,0.474345892,0.37147649,0.499754535,0.433505562,0.465434511,0.499754536,0.370431834,0.476889642,0.41939178,0.430943171,0.372783746,0.313068283,0.29970932,0.423245415,0.453960614,0.453960614,0.351521891,0.493227494,0.45396027,0.350464688,0.402643487,0.476889642,0.322775271,0.392294141,0.45396027,0.381906782,0.341995966,0.465434506,0.381906782,0.370431834,0.37147649,0.351521891,0.417077573,0.396179996,0.417077572,0.337213016,0.453960622,0.49975453,0.378120031,0.398508626,0.392294141,0.417077572,0.396179996,0.465434511,0.467072095,0.360998885,0.360998885,0.381906782,0.407805833,0.442464732,0.443742762,0.37147649,0.476889641,0.417077572,0.33503406,0.402643487,0.488328835,0.474345892,0.453960614,0.407805856,0.476889642,0.419391792,0.484517411,0.360998885,0.430943171,0.41295925,0.45396027,0.465434511,0.433505562,0.465434505,0.493227494,0.419391792,0.392294141,0.435555133,0.443742762,0.402643487,0.442464732,0.33503406,0.41295925,0.519316336,0.402643487,0.369576002,0.430943164,10,11
psi(Int),0.444553297,0.389107403,0.55643108,0.446438809,0.56008661,0.500436226,0.500648868,0.613903614,0.559426125,0.561745931,0.61318638,0.500356038,0.558857883,0.560853987,0.557589175,0.445313017,0.501670025,0.557280196,0.612896411,0.50138918,0.500648868,0.61318638,0.444895195,0.501152805,0.44473013,0.445007336,0.55701557,0.501152805,0.50138918,0.444583949,0.557589175,0.500436226,0.557280196,0.445313017,0.500954307,0.55701557,0.445144847,0.501152805,0.669100878,0.50138918,0.557280196,0.500648868,0.556595921,0.444553301,0.500954307,0.500954307,0.44473013,0.50138918,0.56008661,0.444509467,0.444895195,0.50138918,0.446071319,0.55701557,0.502002915,0.44473013,0.558857883,0.446438809,0.445007336,0.556171517,0.445007336,0.445313017,0.502956658,0.615429977,0.444622224,0.444494688,0.563983514,0.557949511,0.50138918,0.563983514,0.500954307,0.557589175,0.557280196,0.556595921,0.445007336,0.444553301,0.500954307,0.446438809,0.500954307,0.673719778,0.558369293,0.558369293,0.500234764,0.559426125,0.445518146,0.55701557,0.44576809,0.502002915,0.500532817,0.500356038,0.500648868,0.444895195,0.500356039,0.445007336,0.500787965,0.614344196,0.501152805,0.501152805,0.444895195,0.444803988,10,12
p(Int),0.499877565,0.464024816,0.41601105,0.36295462,0.330636697,0.44405702,0.425373901,0.361981837,0.339302742,0.313177263,0.377505441,0.453380857,0.347931835,0.321929697,0.373632322,0.405457569,0.378365966,0.382147023,0.385237741,0.387811413,0.425373896,0.377505441,0.437056828,0.397232278,0.458039039,0.42654318,0.390640062,0.397232278,0.387811413,0.489429697,0.373632322,0.444057031,0.382147023,0.405457569,0.406631296,0.390640062,0.416011063,0.397232279,0.373632166,0.387811413,0.382147023,0.425373901,0.407570096,0.499877559,0.4066313,0.406631296,0.458039039,0.387811413,0.330636697,0.520756894,0.437056828,0.387811413,0.373632311,0.390640062,0.368891691,0.458039039,0.347931835,0.362954619,0.42654318,0.432853422,0.42654318,0.405457569,0.34984527,0.338516494,0.478974877,0.531190119,0.295516987,0.365093445,0.387811413,0.295516987,0.4066313,0.373632322,0.382147023,0.407570096,0.42654318,0.499877559,0.4066313,0.36295462,0.4066313,0.316100318,0.356527627,0.356527627,0.472000316,0.339302742,0.3948793,0.390640062,0.384272206,0.368891691,0.434721928,0.453380859,0.425373901,0.437056828,0.453380866,0.42654318,0.416011056,0.354186397,0.397232278,0.397232279,0.437056828,0.447554654,10,12
psi(Int),0.556423626,0.557844477,0.500160584,0.444880617,0.444557333,0.50063705,0.500241608,0.556974697,0.501325397,0.556579848,0.500767626,0.557844477,0.500160584,0.556078017,0.500767626,0.557510033,0.500767626,0.50043558,0.613143177,0.556974697,0.500358793,0.500767626,0.674313774,0.444587186,0.444880617,0.500130336,0.500527426,0.500358793,0.556974697,0.501325397,0.558232635,0.612238342,0.500105435,0.557222178,0.500294742,0.389051498,0.556423626,0.500922867,0.444476926,0.615857033,0.500358793,0.444624237,0.44458718,0.445110337,0.557510033,0.501325397,0.444469554,0.44455733,0.500068295,0.556974697,0.500294742,0.445263667,0.50043558,0.444795808,0.56050616,0.500922867,0.500527426,0.556762164,0.557222178,0.444469554,0.444726522,0.444514083,0.44455733,0.444624237,0.500241608,0.557222178,0.500527426,0.613458153,0.501107104,0.50158366,0.500527426,0.556579848,0.500767626,0.50158366,0.444533165,0.500358793,0.500294742,0.500637049,0.500527426,0.50043558,0.500527426,0.444624264,0.500358793,0.444670106,0.500922867,0.613458153,0.558232635,0.500767626,0.500922867,0.500922867,0.500922867,0.444880617,0.50043558,0.558682691,0.676484758,0.500637049,0.444514083,0.559204073,0.500358793,0.500637049,10,13
p(Int),0.391695159,0.344732914,0.461390343,0.413055811,0.471034236,0.401198184,0.444230575,0.368289088,0.366549601,0.383906897,0.392559646,0.344732914,0.461390343,0.414994169,0.392559649,0.352604859,0.392559649,0.418438864,0.355462285,0.368289088,0.427043963,0.39255965,0.291531838,0.461390282,0.413055811,0.46996297,0.409824068,0.427043968,0.368289088,0.366549601,0.336838067,0.383906915,0.47853156,0.360456214,0.435640618,0.4503612,0.391695159,0.383906714,0.519192669,0.312262891,0.427043967,0.451740318,0.461390278,0.393639906,0.352604859,0.366549601,0.52881633,0.471034234,0.495658753,0.368289088,0.43564062,0.383907187,0.418438863,0.42274257,0.304975293,0.383906714,0.409824068,0.376105401,0.360456214,0.52881633,0.432417832,0.490307783,0.471034234,0.451740318,0.444230575,0.360456214,0.409824068,0.348313946,0.375237424,0.357840823,0.409824068,0.383906897,0.392559649,0.357840823,0.480673138,0.427043967,0.435640618,0.401198182,0.409824068,0.418438864,0.409824068,0.451740318,0.427043963,0.44208324,0.383906713,0.348313946,0.336838067,0.392559649,0.383906713,0.383906713,0.383906714,0.413055811,0.418438863,0.328917784,0.277962352,0.401198182,0.490307783,0.320969295,0.427043963,0.401198182,10,13
psi(Int),0.444621498,0.556144759,0.613397704,0.556057106,0.444500876,0.444586347,0.556247711,0.612230341,0.556679198,0.556368841,0.669726644,0.556368841,0.556247711,0.500163205,0.556057106,0.61309849,0.500291559,0.556247711,0.556247711,0.556511438,0.501046944,0.500240889,0.500613915,0.614567488,0.500735196,0.50019854,0.556247711,0.500005493,0.501246992,0.556368841,0.444781131,0.556679198,0.500133781,0.500163205,0.444664609,0.557376559,0.556247711,0.444465534,0.500735196,0.444664609,0.500425416,0.556247711,0.500291558,0.501482684,0.611828508,0.500613915,0.444954347,0.444586347,0.500877392,0.500735196,0.500511592,0.500511592,0.556144759,0.500089478,0.500291558,0.444534597,0.61309849,0.500613915,0.555982281,0.500163205,0.500352973,0.500163205,0.557107029,0.500735196,0.500511592,0.500511592,0.556679198,0.444488815,0.444557768,0.444716861,0.444664609,0.500110781,0.500352973,0.500425416,0.612836172,0.557376559,0.556057106,0.500425416,0.556247711,0.557690241,0.500352973,0.50019854,0.500425416,0.556144759,0.557376559,0.50019854,0.556511438,0.50019854,0.500613915,0.500877392,0.612836172,0.555918211,0.444557768,0.611640727,0.500425416,0.500511592,0.555815857,0.556144759,0.444586347,0.500352973,10,14
p(Int),0.428401036,0.385292899,0.329960554,0.392492803,0.47315423,0.437360605,0.378084996,0.362980888,0.356402386,0.370868061,0.319993821,0.370868061,0.378084996,0.436365377,0.392492803,0.336590329,0.412457287,0.378084996,0.378084996,0.363640946,0.356395557,0.420431957,0.380485583,0.309970386,0.372468728,0.428401077,0.378084996,0.49996155,0.348336596,0.370868061,0.401481573,0.356402386,0.444325499,0.436365376,0.419435345,0.334603467,0.378084996,0.508904418,0.372468728,0.419435345,0.396488213,0.378084996,0.412457286,0.340259874,0.382670907,0.380485583,0.383488603,0.437360605,0.364438779,0.372468728,0.388491641,0.388491641,0.385292899,0.46023673,0.412457286,0.455264883,0.336590329,0.380485583,0.399685632,0.436365376,0.404476467,0.436365377,0.341885239,0.372468728,0.388491641,0.388491641,0.356402386,0.482094681,0.446314941,0.410462693,0.419435345,0.452285837,0.404476467,0.396488213,0.34320593,0.334603467,0.392492803,0.396488213,0.378084996,0.327303859,0.404476467,0.428401076,0.396488213,0.385292899,0.334603467,0.428401076,0.363640946,0.428401077,0.380485583,0.364438779,0.34320593,0.406872206,0.446314941,0.39576193,0.396488213,0.388491641,0.421229398,0.385292899,0.437360603,0.404476467,10,14
