"","X","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","duration","visits"
"1","psi(Int)",1.03629311346611,0.793367468264596,1.03827318807155,1.08013822878811,0.786625030835305,1.05704527064555,1.03719930746795,0.782023273673163,1.06924579853386,1.35957787717617,1.04850656324853,0.776310212314924,1.05704527064342,1.05101695331509,1.0395048641734,1.04089461596135,1.04850656324741,0.542731258085989,1.04089461596449,1.04627108676048,1.05704527063887,1.38143747099312,0.777437882634992,1.38143747098967,1.04850656324912,1.04425693931632,0.793367468263847,0.796244356063495,1.3692801450289,1.05704527064536,1.04850656324526,0.545027987472827,1.04089461595986,1.08655631896561,1.36415751363718,0.788594284955005,0.784888916660803,1.04425693932307,0.788594284956809,0.7933674682616,1.11120539779887,1.08013822880861,0.784888916659321,0.817497752519307,0.778138224436168,1.06924579853823,0.796244356057101,1.03950486417824,1.06469026514459,1.34559813059582,1.06064226287055,1.04425693931612,0.790831288540502,1.05101695331474,0.780848583072698,1.05385100135247,0.790831288540183,1.35957787716515,1.37501451624899,1.41588229760488,1.06924579853357,1.04850656324861,1.03629311347367,1.03719930746853,0.786625030826849,1.05385100134595,1.06064226286755,0.77892140167144,1.34852863869875,1.40574337330764,0.779819447246798,1.05704527063962,1.05101695332079,1.40574337331333,0.807384068653003,1.06064226287682,1.40574337331006,1.06469026514283,1.35957787716625,1.03533563655383,1.05704527064884,0.796244356056136,0.799504978934714,1.06924579853885,1.05704527064386,1.07437126319956,1.04247606266916,1.06924579853796,1.03719930746688,1.34852863869908,1.35548040149574,1.04247606267071,1.05385100135257,1.04627108676212,1.09381864861913,0.782023273671387,1.05704527064715,1.05101695331448,1.05385100134954,1.04850656325061,10,10
"2","p(Int)",-0.117642327064103,-0.415986819843257,-0.1760161937863,-0.607993708084717,-0.317462316013863,-0.447072339843968,-0.146779635982996,-0.221238718098689,-0.542396132787691,-0.474304302259673,-0.354682969795871,-0.00197249637582427,-0.447072339843753,-0.385197903284587,-0.205374313166519,-0.23487052682261,-0.354682969796193,-0.069349480379359,-0.234870526822833,-0.324413388198356,-0.447072339843412,-0.594739944670995,-0.0641577210110482,-0.594739944670575,-0.354682969796252,-0.294369504837726,-0.415986819843286,-0.449475860011758,-0.533810357967952,-0.447072339844551,-0.354682969795887,-0.171144860910644,-0.234870526822537,-0.64149580684693,-0.503893199639941,-0.350011774610809,-0.285168967937698,-0.294369504837937,-0.350011774610736,-0.415986819842694,-0.745458497729839,-0.607993707981583,-0.2851689679383,-0.623402009893802,-0.0953421058795022,-0.542396132787439,-0.449475860011683,-0.205374313166086,-0.510245814164878,-0.358749050583168,-0.478483813478277,-0.29436950483871,-0.382841852082503,-0.385197903284338,-0.189553543572557,-0.415986674613731,-0.382841852083099,-0.474304302258666,-0.564082880357823,-0.721878866825119,-0.542396132788083,-0.35468296979612,-0.117642327063311,-0.146779635982682,-0.317462316013617,-0.415986674613733,-0.478483813478256,-0.12662667558427,-0.387262733250174,-0.689344614841175,-0.1580236115023,-0.44707233984345,-0.385197903284663,-0.689344614840634,-0.552375043956989,-0.4784838134787,-0.689344614841162,-0.510245814164377,-0.474304302258578,-0.0886602370783386,-0.447072339844213,-0.449475860011523,-0.483345199108805,-0.542396132787403,-0.447072339843349,-0.574967040174778,-0.264524901455121,-0.542396132787906,-0.146779635983035,-0.387262733250261,-0.445018444198985,-0.264524901455595,-0.415986674614038,-0.324413388197738,-0.675549102782775,-0.221238718098985,-0.447072339843997,-0.385197903284218,-0.415986674614019,-0.354682969796522,10,10
"3","psi(Int)",1.04915533120004,1.03898550625542,1.04915533120379,1.04319005993917,1.03340978097361,1.03392323294834,1.03785653904745,1.03392323295348,1.03599624768153,1.0368726013884,0.785405078197485,1.04023678704721,1.06106532106365,0.777894887659223,1.04319005994551,1.35657595478503,1.05754924704175,1.05441717145635,1.33435791484201,1.03898550625785,1.05441717145889,0.540571013342999,1.03898550625803,1.04495856357345,0.793660255923591,0.78254109969872,1.04319005994271,1.04319005994545,1.06935064687001,1.34975877028998,1.03521451854744,0.787107428780288,1.04162260971142,1.04495856357103,1.33958145762443,1.04495856356607,1.05162983871777,1.05754924704182,1.04319005994561,0.776727643307254,1.04023678704984,1.07425376298942,1.33762611644901,0.777894887654973,1.04319005994368,1.03599624767577,1.33585705500736,1.07425376299433,0.782541099700236,1.03898550625517,1.34174746075176,1.0402367870504,0.787107428770456,1.34174746075792,0.777273196741266,1.03599624767251,0.543075620452093,1.03785653903967,1.04023678704432,1.04162260971353,1.06106532178039,1.03687260139876,1.38218105491251,0.785405078219853,1.04023678704645,0.552124511591072,1.04023678704681,0.787107428789606,0.796437772285627,1.0402367870534,0.777273196745523,1.33585705499483,1.03898550625611,1.06106532180095,0.785405078200426,1.0431900599432,1.03521451853834,1.04495856357279,1.03599624768285,0.779409879665738,1.03687260139542,1.04319005994572,1.04495856357591,0.779409879659871,1.05162983870903,1.03599624767891,1.03599624768714,1.33180547770147,1.34174746074143,1.34975877028831,1.34414979725812,1.03687260138494,1.34174746074733,0.544532252980892,1.03452607615865,0.776727642658971,1.04319005993861,1.04319005994513,1.03302946483413,1.04694005331581,10,11
"4","p(Int)",-0.484614025110011,-0.318487953192961,-0.484614025109826,-0.400603995026918,-0.131885978400648,-0.158248931415087,-0.291462485626029,-0.158248931416382,-0.237837563248274,-0.264578196979857,-0.417661294550757,-0.345680028337457,-0.60047814529915,-0.213249267979828,-0.400603995026335,-0.571060637626118,-0.571030835482348,-0.541921541029373,-0.334814457630077,-0.318487953193216,-0.541921541027849,-0.0314474089676012,-0.318487953192706,-0.428371643778796,-0.539695347877189,-0.358285716394029,-0.400603995025851,-0.40060399502543,-0.660506962774231,-0.516959094818925,-0.211205238681678,-0.447723066513584,-0.373043358431471,-0.428371643779363,-0.411693887694419,-0.428371643779363,-0.513118811382007,-0.571030835483273,-0.400603995026122,-0.156221637001421,-0.345680028337698,-0.691148931436376,-0.385892414716218,-0.21324926798006,-0.400603995025709,-0.237837563248655,-0.360265045570253,-0.691148931444061,-0.358285716394464,-0.318487953192127,-0.437685373065344,-0.345680028337662,-0.447723066402172,-0.437685373067315,-0.184680353981755,-0.237837563248663,-0.215634409600272,-0.291462485624548,-0.345680028338461,-0.373043358432342,-0.600478132489211,-0.26457819698009,-0.711827289433683,-0.417661294667567,-0.345680028338216,-0.470460054313291,-0.345680028337755,-0.447723066541939,-0.571033098996332,-0.345680028338058,-0.184680353982316,-0.360265045568866,-0.318487953193427,-0.600478131956166,-0.417661294550356,-0.40060399502609,-0.211205238681654,-0.428371643778879,-0.237837563248095,-0.270771769222721,-0.264578196979477,-0.400603995026061,-0.428371643778808,-0.270771769221557,-0.513118811381576,-0.23783756324789,-0.23783756324887,-0.284294367422986,-0.437685373066924,-0.516959094816247,-0.463882383229765,-0.264578196979642,-0.437685373066286,-0.278002783840652,-0.184680499098879,-0.156221637082838,-0.40060399502623,-0.400603995027395,-0.105573656392454,-0.456368629279799,10,11
"5","psi(Int)",1.34134048202737,1.34928642791354,1.33923927660805,1.04048370647378,0.777011648355379,1.04185897953572,1.04513496882279,1.03634208902832,1.04185897953232,1.03925983631118,1.03634208902973,1.03492831786767,1.33923927661314,1.03817177931382,1.33291947843939,0.781603511312439,1.03634208904104,1.03558851484838,1.03817177931482,0.778880000440239,0.778880000440248,1.33923927661617,1.0349283178708,1.03719488472857,1.34928642791589,1.03719488473274,1.03155077973859,1.03373763338694,1.03817177931168,1.34134048201724,0.787181902830514,0.776086145103264,1.03558851484622,1.03634208903793,1.03101996965733,1.05744795090941,1.05440519397377,1.03207019724048,0.77608614462599,1.03719488473064,1.03634208904458,1.0470762040986,1.03558851484842,1.03817177931262,1.03558851485029,1.03634208903142,1.03558851484809,1.03432176637704,1.03323538303051,1.03925983631133,0.777011648355932,0.774241058485564,1.03719488473296,1.33422874943121,1.03145968433483,0.78405844408318,1.03492831787721,1.3270349004712,1.04340299306231,1.03925983631307,0.775375335100242,1.0327936165607,1.04048370646683,1.03817177930579,1.0343217663769,1.03817177930837,1.03719488473165,1.33072946151737,1.33736841125543,1.32828144844479,1.03492831787081,0.774612446332798,1.03719488473086,1.05744795090662,0.778177006505305,1.33291947844494,1.03558851485665,1.03558851485457,0.776086142227812,0.775707333648965,1.03432176637644,1.04185897953218,1.03207019723193,1.03719488473409,0.778177006510015,1.05168355952427,1.34369677820274,0.780578316000325,1.05168355952278,1.04048370646848,1.04048370647071,1.03558851485943,1.03323538302429,1.0343217663757,1.06084843978053,1.04340299306371,1.054405193972,1.03240783437565,1.04048370647138,1.03634208904128,10,12
"6","p(Int)",-0.553266009279727,-0.628095618140987,-0.528774217705911,-0.46503963055696,-0.286050900862167,-0.490744208244319,-0.54279531648567,-0.364029355840478,-0.490744208243465,-0.439529526453749,-0.364029355840412,-0.314437685996385,-0.52877421770462,-0.414200213200609,-0.432709434168677,-0.447363694341219,-0.364029355841852,-0.339169928177259,-0.414200213200586,-0.365952226110932,-0.365952226111469,-0.528774217704955,-0.314437685996894,-0.389035571810662,-0.628095618141034,-0.389035571810751,-0.120104966091871,-0.265330591095599,-0.414200213200384,-0.553266009279982,-0.559004057938712,-0.23343938825013,-0.339169928176432,-0.364029355841142,-0.0721810461158859,-0.67744654958253,-0.649925267966225,-0.168236760239915,-0.23343938844022,-0.389035571810265,-0.364029355841483,-0.569173233428007,-0.339169928177056,-0.414200213200406,-0.339169928176346,-0.364029355840742,-0.339169928176587,-0.289825922921838,-0.240927301667615,-0.439529526452864,-0.286050900861987,-0.0519409749798501,-0.389035571811642,-0.456464356180471,-0.0960716631211706,-0.502683144099677,-0.314437685997247,-0.270215875898258,-0.51665768813005,-0.439529526453879,-0.181236442658452,-0.216620787049106,-0.465039630557268,-0.414200213200322,-0.289825922921702,-0.414200213200638,-0.389035571810991,-0.385656267763691,-0.504485038513422,-0.316084197176179,-0.314437685996643,-0.10350330398976,-0.389035571810501,-0.677446549583144,-0.339170341747981,-0.432709434168451,-0.339169928176928,-0.339169928177057,-0.233439389390553,-0.207292641500065,-0.2898259229222,-0.490744208244199,-0.168236760239009,-0.389035571811718,-0.339170341747841,-0.622719456804536,-0.577973865696733,-0.42003399907924,-0.622719456805917,-0.465039630556781,-0.465039630557084,-0.339169928177108,-0.240927301668749,-0.289825922922219,-0.70530515640462,-0.516657688130872,-0.649925267966846,-0.192400809951415,-0.465039630556714,-0.364029355841071,10,12
"7","psi(Int)",0.774072269789429,1.03225832496274,0.77498112592275,1.03710779133038,1.03625779782164,1.03225832496029,1.34325842944611,1.04037268315776,1.04174465257717,1.03329744649907,1.03625779781552,1.03426112109633,1.03374798753678,1.04693516089791,1.03806840374253,0.774072269797979,1.03484453881758,1.03200728689894,1.33212080996047,0.775510471922336,1.03484453881032,1.33504090690178,1.33679075806923,1.0403726831547,0.773754878286684,1.33091598413325,1.03484453881245,1.335040906904,1.03084493616635,1.03063858860439,1.03225832495698,1.0337479875395,1.33212080996325,1.03426112109514,1.03164213407782,1.03484453881977,1.33349021253457,1.03254746867247,0.775510471929643,1.03374798753771,1.03200728688915,1.33679075807526,1.03254746867624,1.04037268315545,1.03806840375201,1.03426112109379,1.03550689748586,1.04174465258293,1.32523227090003,1.03710779133201,1.03329744650677,1.32986008927561,1.03225832495952,1.32553603074794,0.777640002789931,0.774072269787052,0.775510471921695,1.03225832495543,0.777640002796071,1.03254746867671,1.03625779782577,1.03374798754075,1.04037268315909,1.03710779132889,0.776205992514623,1.32523227089891,1.03164213408891,1.03625779782052,0.775510471929233,0.777100273539298,0.775228384037222,1.32744468317357,1.33679075807444,1.03164213408207,1.03806840374011,1.05148310244642,1.04328399089452,1.0391521703755,1.32986008927707,1.34096595393093,1.03290284032842,1.33875890644347,0.777640002791908,1.3501449803882,1.32986008927724,1.03290284033557,1.03426112109453,1.04037268315629,1.03374798754158,0.774550074231277,1.03225832495976,1.03484453881322,0.77455007423243,1.03915217037743,1.03329744650093,0.78061688056067,1.03484453881434,1.03100725979435,1.03329744650406,1.03200728689418,10,13
"8","p(Int)",-0.130883801738391,-0.288902537995315,-0.25081290999009,-0.496590894294761,-0.472974709661382,-0.288902537996254,-0.677307660123139,-0.568490419752083,-0.592846618422777,-0.357053973696122,-0.472974709659264,-0.40302837807247,-0.379981546566408,-0.667270131223833,-0.520374693917228,-0.130883801738516,-0.4262033070632,-0.266363196319704,-0.539462973879069,-0.299331449762094,-0.426203307064913,-0.584637560343357,-0.607497270647921,-0.568490419753585,-0.0595360861852547,-0.517127421595679,-0.426203307064502,-0.584637560344433,-0.154756851566171,-0.11046091874904,-0.288902537995921,-0.379981546566195,-0.539462973878674,-0.403028378071799,-0.243889496998245,-0.426203307063786,-0.561963004537919,-0.311524771726086,-0.29933144976147,-0.379981546567341,-0.266363196319934,-0.607497270649949,-0.311524771726008,-0.568490419751602,-0.520374693917396,-0.403028378072988,-0.449515542647914,-0.592846618423688,-0.322086630509073,-0.496590894293567,-0.357053973695365,-0.49494683811744,-0.288902537995568,-0.343317763468626,-0.42264012907326,-0.130883801737675,-0.29933144976188,-0.288902537995832,-0.422640129075623,-0.311524771725937,-0.472974709660719,-0.379981546566046,-0.568490419754372,-0.496590894294504,-0.348270065925756,-0.322086630506729,-0.243889496993984,-0.472974709660822,-0.299331449761967,-0.397707667035093,-0.275024907187443,-0.429246972328517,-0.607497270648767,-0.243889496994352,-0.520374693916484,-0.718167114941392,-0.617419109124895,-0.544337272242019,-0.494946838116945,-0.653817848741306,-0.334237133766206,-0.630553391927207,-0.422640129073629,-0.725099003261827,-0.494946838118086,-0.334237133765427,-0.403028378071529,-0.56849041975287,-0.379981546567404,-0.202642923713818,-0.288902537995024,-0.426203307064753,-0.202642923713542,-0.544337272241305,-0.357053973696897,-0.524067616481311,-0.426203307064401,-0.176957797613192,-0.357053973697158,-0.266363196320022,10,13
"9","psi(Int)",1.04042909975823,1.03253208237307,0.777656650460751,1.03292861414366,1.03190161852157,1.03112023365197,1.03073290724335,1.03073290724432,1.03392129701695,1.03088704696619,1.32983291110181,1.32595692596065,1.03061058567418,1.03041183252227,0.775206252091852,1.03453385919233,1.03292861415222,1.03219203434578,1.32901212557392,1.03126850727454,0.773662720868089,1.32595692596256,1.32983291111267,1.03392129701514,1.03253208236661,0.773662720861287,1.32826982948843,1.03292861414969,1.03292861414625,0.774135003153483,1.03219203434631,1.03292861415227,1.03219203434745,1.03126850727663,0.774399183546161,1.32699508283594,1.03126850727237,1.32826982948292,1.33143173328315,1.03144519308812,1.32310984593725,1.03061058567683,1.03099696263898,1.0379733388044,1.03099696263471,1.03292861414946,1.03392129701444,1.03190161852245,1.03219203434581,0.774560504207851,1.03292861414749,1.03392129701464,1.03190161852346,1.03219203434415,1.03081903596293,1.03190161851737,0.774253564460856,1.03190161852714,1.03219203434239,1.0339212970132,1.03099696264241,0.77403216910795,0.773834687562737,1.03190161852964,1.33074046692941,1.32644918468552,1.3282698294968,1.031268507271,1.32319025362227,1.32349160009852,1.03392129701881,1.0321920343427,1.0345338591938,1.03081903596011,1.32644918468897,1.0308870469703,1.03219203434432,1.33410746891135,1.03453385919436,1.03126850728018,1.03523568771803,1.03392129701493,1.03219203434567,1.03292861414705,1.32983291111661,1.03219203434363,1.03023070772841,1.03144519309199,1.03190161852178,1.34503757129977,1.03453385919648,0.777101387799303,0.779003336931339,1.03694533807442,1.03144519309385,1.3231559122216,1.03253208237284,1.03603621998678,1.03190161852307,1.03338903715724,10,14
"10","p(Int)",-0.659294032578963,-0.43680083177737,-0.518948340208585,-0.45840842148839,-0.393920590339038,-0.309317336890098,-0.225910428690225,-0.225910428690142,-0.50199379092862,-0.267496214689155,-0.549219012257305,-0.426805830765417,-0.205215610118127,-0.184575041615518,-0.379192711700725,-0.523986623850782,-0.45840842148898,-0.415307148192506,-0.528515399200254,-0.330339091575068,-0.132340165233029,-0.426805830765327,-0.549219010696342,-0.501993790928118,-0.436800831775779,-0.132340165232688,-0.507941242087103,-0.458408421489111,-0.458408421489961,-0.24348636697375,-0.415307148192966,-0.45840842148836,-0.415307148193485,-0.330339091574411,-0.288374627242504,-0.467154283720514,-0.33033909157586,-0.507941242087279,-0.591235000462636,-0.351442832278995,-0.347161983740882,-0.205215610118167,-0.288371593998985,-0.613488454242197,-0.288371593999516,-0.458408421489437,-0.501993790928111,-0.393920590339767,-0.415307148192751,-0.310938315565448,-0.458408421489226,-0.501993790928668,-0.393920590338781,-0.415307148192384,-0.246682745260848,-0.393920590340888,-0.265893223681915,-0.393920590339437,-0.415307148193037,-0.501993790928535,-0.28837159399945,-0.221146109456289,-0.176647589918065,-0.393920590338654,-0.570059557807104,-0.446928314059217,-0.507941242086624,-0.330339091575416,-0.366912233379158,-0.406661793407473,-0.501993790927143,-0.415307148192971,-0.523986623851345,-0.246682745260453,-0.446928314059022,-0.26749621468933,-0.415307148192099,-0.633478258029261,-0.523986623852283,-0.330339091575352,-0.546123586923351,-0.501993790928381,-0.415307148192902,-0.458408421488842,-0.549219010384495,-0.415307148192308,-0.143415409989091,-0.351442832279786,-0.39392059033919,-0.765173859995017,-0.523986623850982,-0.495297883962876,-0.566756432343423,-0.59086497530974,-0.351442832279569,-0.268878017671566,-0.436800831775532,-0.568413304582939,-0.393920590339246,-0.480136958900026,10,14
