X,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,duration,visits
psi(Int),0.738134127,0.688553934,0.738516679,0.746520141,0.6871062,0.742125488,0.738309249,0.686116012,0.744453461,0.795691083,0.740488015,0.684884336,0.742125488,0.740970134,0.738754458,0.739022586,0.740488015,0.632447549,0.739022586,0.740058203,0.742125488,0.799221765,0.685127656,0.799221765,0.740488015,0.73967055,0.688553934,0.68917054,0.797263825,0.742125488,0.740488015,0.632981279,0.739022586,0.7477327,0.796434572,0.687529417,0.68673283,0.73967055,0.687529417,0.688553934,0.752353767,0.746520141,0.68673283,0.693704924,0.68527872,0.744453461,0.68917054,0.738754458,0.74358584,0.793409045,0.742813263,0.73967055,0.688009796,0.740970134,0.685862974,0.741513711,0.688009796,0.795691083,0.798189116,0.804692079,0.744453461,0.740488015,0.738134127,0.738309249,0.6871062,0.741513711,0.742813263,0.685447605,0.793888975,0.803093694,0.685641199,0.742125488,0.740970134,0.803093694,0.691551785,0.742813263,0.803093694,0.74358584,0.795691083,0.737949012,0.742125488,0.68917054,0.689868581,0.744453461,0.742125488,0.74542732,0.739327481,0.744453461,0.738309249,0.793888975,0.795024163,0.739327481,0.741513711,0.740058203,0.749100116,0.686116012,0.742125488,0.740970134,0.741513711,0.740488015,10,10
p(Int),0.470623291,0.397477467,0.456109211,0.352516996,0.421294325,0.390057069,0.46337083,0.444914823,0.367630357,0.38359798,0.412247276,0.499506876,0.390057069,0.40487384,0.44883613,0.441550813,0.412247276,0.482669575,0.441550813,0.419600549,0.390057069,0.355548031,0.483966069,0.355548031,0.412247276,0.426934478,0.397477467,0.389485392,0.369628622,0.390057069,0.412247276,0.457317916,0.441550813,0.344908489,0.37662619,0.413379566,0.429186993,0.426934478,0.413379566,0.397477467,0.321811676,0.352516996,0.429186993,0.349008113,0.476182513,0.367630357,0.389485392,0.44883613,0.375135903,0.411262419,0.382610214,0.426934478,0.40544166,0.40487384,0.452752997,0.397477501,0.40544166,0.38359798,0.362603287,0.326979378,0.367630357,0.412247276,0.470623291,0.46337083,0.421294325,0.397477501,0.382610214,0.468385563,0.404376415,0.334178883,0.460576102,0.390057069,0.40487384,0.334178883,0.365313556,0.382610214,0.334178883,0.375135903,0.38359798,0.477849449,0.390057069,0.389485392,0.381462517,0.367630357,0.390057069,0.360091498,0.434251714,0.367630357,0.46337083,0.404376415,0.390545826,0.434251714,0.397477501,0.419600549,0.33725542,0.444914823,0.390057069,0.40487384,0.397477501,0.412247276,10,10
psi(Int),0.740612667,0.738654211,0.740612667,0.739465061,0.737576419,0.737675789,0.738436212,0.737675789,0.738076741,0.738246122,0.686843861,0.738895692,0.742894077,0.685226237,0.739465061,0.795202637,0.742221925,0.741622215,0.791560571,0.738654211,0.741622215,0.63194524,0.738654211,0.739805631,0.688616718,0.686227521,0.739465061,0.739465061,0.744473407,0.794090187,0.737925589,0.687209902,0.739162968,0.739805631,0.792421104,0.739805631,0.74108775,0.742221925,0.739465061,0.684974418,0.738895692,0.745405022,0.792099286,0.685226237,0.739465061,0.738076741,0.79180781,0.745405022,0.686227521,0.738654211,0.792777164,0.738895692,0.687209902,0.792777164,0.685092128,0.738076741,0.632527595,0.738436212,0.738895692,0.739162968,0.742894077,0.738246122,0.799341059,0.686843861,0.738895692,0.634628353,0.738895692,0.687209902,0.689211971,0.738895692,0.685092128,0.79180781,0.738654211,0.742894077,0.686843861,0.739465061,0.737925589,0.739805631,0.738076741,0.685552916,0.738246122,0.739465061,0.739805631,0.685552916,0.74108775,0.738076741,0.738076741,0.791139125,0.792777164,0.794090187,0.793171546,0.738246122,0.792777164,0.632866104,0.737792429,0.684974418,0.739465061,0.739465061,0.737502799,0.740186873,10,11
p(Int),0.381163184,0.421044289,0.381163184,0.401167232,0.467076214,0.460520123,0.427645864,0.460520123,0.440819318,0.434238621,0.397076517,0.414430393,0.354234309,0.446888801,0.401167232,0.360992124,0.360998999,0.367740696,0.417069655,0.421044289,0.367740696,0.492138796,0.421044289,0.394515235,0.368258455,0.411374609,0.401167232,0.401167232,0.340625739,0.373563574,0.447394097,0.389902264,0.407805844,0.394515235,0.398506028,0.394515235,0.374462688,0.360998999,0.401167232,0.461023827,0.414430393,0.333777536,0.404706508,0.446888801,0.401167232,0.440819318,0.410895407,0.333777536,0.411374609,0.421044289,0.392292637,0.414430393,0.389902264,0.392292637,0.453960692,0.440819318,0.446299319,0.427645864,0.414430393,0.407805844,0.354234312,0.434238621,0.329195202,0.397076517,0.414430393,0.384507361,0.414430393,0.389902264,0.360998477,0.414430393,0.453960692,0.410895407,0.421044289,0.354234312,0.397076517,0.401167232,0.447394097,0.394515235,0.440819318,0.432717637,0.434238621,0.401167232,0.394515235,0.432717637,0.374462688,0.440819318,0.440819318,0.429401271,0.392292637,0.373563574,0.38606522,0.434238621,0.392292637,0.430943488,0.453960656,0.461023827,0.401167232,0.401167232,0.473631073,0.387847639,10,11
psi(Int),0.792710297,0.794012943,0.792364813,0.738943327,0.685035699,0.739208538,0.739839586,0.738143593,0.739208538,0.738707166,0.738143593,0.737870237,0.792364813,0.738497096,0.791323141,0.686025604,0.738143593,0.737997911,0.738497096,0.685438678,0.685438678,0.792364813,0.737870237,0.738308395,0.794012943,0.738308395,0.737216436,0.737639872,0.738497096,0.792710297,0.68722591,0.684835976,0.737997911,0.738143593,0.73711359,0.742202543,0.74161992,0.73731705,0.684835976,0.738308395,0.738143593,0.740213055,0.737997911,0.738497096,0.737997911,0.738143593,0.737997911,0.737752902,0.737542661,0.738707166,0.685035699,0.684437605,0.738308395,0.791539259,0.737198788,0.686554142,0.737870237,0.79034975,0.739506082,0.738707166,0.684682538,0.737457138,0.738943327,0.738497096,0.737752902,0.738497096,0.738308395,0.790961271,0.792056845,0.790556224,0.737870237,0.684517813,0.738308395,0.742202543,0.685287084,0.791323141,0.737997911,0.737997911,0.684835976,0.684754209,0.737752902,0.739208538,0.73731705,0.738308395,0.685287084,0.741098058,0.793097218,0.685804741,0.741098058,0.738943327,0.738943327,0.737997911,0.737542661,0.737752902,0.74285265,0.739506082,0.74161992,0.737382438,0.738943327,0.738143593,10,12
p(Int),0.365107002,0.347942476,0.370802828,0.385790966,0.428970946,0.379718267,0.36753756,0.409984524,0.379718267,0.391853079,0.409984524,0.422031921,0.370802828,0.397905418,0.39347953,0.389987754,0.409984524,0.416011126,0.397905418,0.409519467,0.409519467,0.370802828,0.422031921,0.403949489,0.347942476,0.403949489,0.470009801,0.434053785,0.397905418,0.365107002,0.363777933,0.441903738,0.416011126,0.409984524,0.481962569,0.336831444,0.343006378,0.458039732,0.441903738,0.403949489,0.409984524,0.361427619,0.416011126,0.397905418,0.416011126,0.409984524,0.416011126,0.428046485,0.440057844,0.391853079,0.428970946,0.487017675,0.403949489,0.387824911,0.47600054,0.376910327,0.422031921,0.432854099,0.37363411,0.391853079,0.454814504,0.446055582,0.385790966,0.397905418,0.428046485,0.397905418,0.403949489,0.404763402,0.376487248,0.421630354,0.422031921,0.47414725,0.403949489,0.336831444,0.416011025,0.39347953,0.416011126,0.416011126,0.441903738,0.448361617,0.428046485,0.379718267,0.458039732,0.403949489,0.416011025,0.349163206,0.35939894,0.396508614,0.349163206,0.385790966,0.385790966,0.416011126,0.440057844,0.428046485,0.330637058,0.37363411,0.343006378,0.452047632,0.385790966,0.409984524,10,12
psi(Int),0.684401148,0.737353485,0.684597425,0.738291567,0.738127301,0.737353485,0.793025278,0.738921909,0.739186498,0.737554675,0.738127301,0.737741169,0.737641876,0.740185932,0.738477131,0.684401148,0.737854032,0.737304865,0.791191225,0.684711712,0.737854032,0.791673237,0.791961687,0.738921909,0.684332589,0.790992109,0.737854032,0.791673237,0.737079672,0.737039681,0.737353485,0.737641876,0.791191225,0.737741169,0.737234134,0.737854032,0.791417371,0.737409478,0.684711712,0.737641876,0.737304865,0.791961687,0.737409478,0.738921909,0.738477131,0.737741169,0.737982129,0.739186498,0.790050903,0.738291567,0.737554675,0.790817491,0.737353485,0.790101283,0.685171258,0.684401148,0.684711712,0.737353485,0.685171258,0.737409478,0.738127301,0.737641876,0.738921909,0.738291567,0.684861843,0.790050903,0.737234134,0.738127301,0.684711712,0.68505482,0.684650811,0.790417641,0.791961687,0.737234134,0.738477131,0.741059594,0.739483157,0.738686384,0.790817491,0.792648747,0.737478285,0.79228577,0.685171258,0.79415333,0.790817491,0.737478285,0.737741169,0.738921909,0.737641876,0.684504343,0.737353485,0.737854032,0.684504343,0.738686384,0.737554675,0.685813051,0.737854032,0.737111128,0.737554675,0.737304865,10,13
p(Int),0.46732568,0.428272565,0.437623424,0.378342155,0.383912412,0.428272565,0.33686247,0.361585226,0.355981975,0.411672902,0.383912412,0.400584957,0.406131348,0.339108373,0.372764622,0.46732568,0.39503331,0.433800142,0.368312517,0.425720924,0.39503331,0.357866191,0.352630315,0.361585226,0.485120373,0.373524184,0.39503331,0.357866191,0.461387819,0.472412815,0.428272565,0.406131348,0.368312517,0.400584957,0.439328069,0.39503331,0.36309338,0.422742603,0.425720924,0.406131348,0.433800142,0.352630315,0.422742603,0.361585226,0.372764622,0.400584957,0.389475956,0.355981975,0.420167304,0.378342155,0.411672902,0.378728913,0.428272565,0.415003778,0.395885163,0.46732568,0.425720924,0.428272565,0.395885163,0.422742603,0.383912412,0.406131348,0.361585226,0.378342155,0.413801988,0.420167304,0.439328069,0.383912412,0.425720924,0.401863222,0.431673906,0.394306162,0.352630315,0.439328069,0.372764622,0.327796724,0.350368662,0.3671792,0.378728913,0.34212971,0.417210022,0.347385068,0.395885163,0.326271137,0.378728913,0.417210022,0.400584957,0.361585226,0.406131348,0.449511922,0.428272565,0.39503331,0.449511922,0.3671792,0.411672902,0.371901582,0.39503331,0.455875633,0.411672902,0.433800142,10,13
psi(Int),0.738932793,0.737406498,0.685174849,0.737483275,0.737284398,0.737133019,0.737057961,0.737057961,0.737675414,0.737087832,0.790812995,0.790171077,0.737034253,0.73699573,0.684646033,0.737793934,0.737483275,0.737340647,0.790677182,0.737161749,0.684312681,0.790171077,0.790812995,0.737675414,0.737406498,0.684312681,0.7905543,0.737483275,0.737483275,0.684414698,0.737340647,0.737483275,0.737340647,0.737161749,0.684471756,0.790343152,0.737161749,0.7905543,0.791077362,0.737195981,0.789698639,0.737034253,0.737109132,0.738458771,0.737109132,0.737483275,0.737675414,0.737284398,0.737340647,0.684506596,0.737483275,0.737675414,0.737284398,0.737340647,0.737074652,0.737284398,0.684440306,0.737284398,0.737340647,0.737675414,0.737109132,0.684392487,0.684349829,0.737284398,0.79096309,0.790252682,0.7905543,0.737161749,0.789711992,0.789762031,0.737675414,0.737340647,0.737793934,0.737074652,0.790252682,0.737087832,0.737340647,0.791519247,0.737793934,0.737161749,0.737929683,0.737675414,0.737340647,0.737483275,0.790812995,0.737340647,0.736960621,0.737195981,0.737284398,0.793317148,0.737793934,0.685055061,0.68546527,0.738260177,0.737195981,0.789706289,0.737406498,0.738084468,0.737284398,0.737572404,10,14
p(Int),0.340898215,0.39250353,0.37309818,0.387363458,0.402773856,0.423281378,0.44376137,0.44376137,0.377072235,0.433521874,0.366045623,0.394889327,0.448875391,0.453986797,0.40632162,0.371920501,0.387363458,0.397640252,0.370863214,0.418158119,0.466963162,0.394889327,0.366045623,0.377072235,0.39250353,0.466963162,0.37567627,0.387363458,0.387363458,0.43942737,0.397640252,0.387363458,0.397640252,0.418158119,0.428401832,0.385290007,0.418158119,0.37567627,0.356351538,0.413032582,0.414070801,0.448875391,0.428402574,0.351263846,0.428402574,0.387363458,0.377072235,0.402773856,0.397640252,0.422885723,0.387363458,0.377072235,0.402773856,0.397640252,0.438640156,0.402773856,0.433915579,0.402773856,0.397640252,0.377072235,0.428402574,0.444937695,0.455952582,0.402773856,0.361223082,0.390091335,0.37567627,0.418158119,0.409287345,0.39971283,0.377072235,0.397640252,0.371920501,0.438640156,0.390091335,0.433521874,0.397640252,0.346722272,0.371920501,0.418158119,0.366764233,0.377072235,0.397640252,0.387363458,0.366045624,0.397640252,0.464207475,0.413032582,0.402773856,0.317524021,0.371920501,0.378646318,0.361985598,0.356436413,0.413032582,0.433182561,0.39250353,0.361603027,0.402773856,0.382219785,10,14
