"","X5","X9","X12","X22","X24","X26","X27","X32","X43","X48","X49","X56","X61","X62","X66","X71","X73","X74","X78","X80","X82","X84","X85","X92","X97","X99","X100"
"(Intercept)",0.0513325075676936,6.88460114959454,2.50056799216528,4.82594410500477,5.02725016422984,1.5672278684674,-1.23304703427619,8.60800875814452,3.93115159585309,0.3604210829316,3.39003284162148,0.266431428360413,10.4669835694048,1.81588583099039,8.23156934778948,2.10474593868158,4.64162572865552,5.88982708325273,4.51967135499761,6.62422142635891,11.4296297473619,7.14385800187577,5.80843452484113,7.75840665240844,-2.18596129574316,0.856235072863322,-0.511260723300896
"CIVIL.1",3.55063241250402,-0.116442208796021,1.33345016484734,0.826618091566191,7.37447411008005,13.9072956172753,10.9946670715172,-14.9746438962736,5.40514999352395,9.71098902272819,-10.0285132414633,-1.37462180845787,-17.0640177731321,7.88840481893648,-3.22510630137734,9.7135183038662,2.79669802735063,-0.615837405460753,1.55224658466381,2.56799642433918,-4.78722521270931,5.56233150106839,5.81243949623268,-3.68311879546634,14.8624799900731,1.6236994772318,3.45297119875228
"NAUTICAL.1",3.66956922041899,10.8141415016061,-3.84962113646907,-8.25581233750918,-7.0101827408362,0.637447802522148,19.0160485299224,2.87148088173197,3.15843644298159,0.209327727557119,0.0485491528496938,9.55326219461658,-0.77426585284841,9.86399108348483,0.15071690121339,0.665060293612856,9.69713444381395,-4.85531374229474,-17.2876710919779,-1.27384919943885,-11.8992504199966,-3.25288835625732,-9.46832720209254,-13.1622377248456,17.9140537460107,-7.28327440706718,-6.41665745187018
"ASTRONOMICAL.1",-34.0159223848107,-24.0188609783709,-132.669054952099,-76.1515546519943,-77.8359716558778,-49.1697429169124,-36.2431436477258,-40.3078338159825,-19.3233126986416,-52.2506740665596,-31.9079296557266,2.70152157196225,-126.393723900797,-29.1561416055823,-20.2300326967544,-157.981225631996,-165.531877769662,-15.546056932038,-132.864805780426,-121.969654620731,-24.0278034196964,-57.6555394020372,-185.465936355942,-43.0195548024295,-32.0914412218633,-38.5467689504583,-27.0352321571743
"NIGHT",-16.3236231437918,-29.134436226687,-12.4799967942336,-80.1513957292388,-23.0185139813512,-25.1156743914208,-2.76128448757735,-4.33547063748684,-27.4434134560034,-24.7298795026523,-20.2839188307598,-17.6054316286195,-22.8646136201154,-90.96046844347,-5.1545513194645,-14.810794466236,-16.4773758259758,-37.3909432147425,-7.57180476721972,-28.8594452939312,-27.9582860711794,-63.8411679056767,2.65069771031098,-54.6274808796407,-15.3326326935136,-0.948557717870727,-23.8472718528446
"ASTRONOMICAL.2",-11.157429010468,-6.1350108190713,0.92561005249133,-1.90606230671998,-12.6519792590434,-2.56471434003242,7.48178607575194,4.33603172116461,5.5578582650456,-10.7604634102498,-4.16060927718517,1.07335443487624,-24.2254304683074,-7.69951645790302,-12.9484259931651,1.30676362896083,-13.898047679556,-0.00361766225711622,-8.58521727547743,-7.62547988665502,-8.86090646112335,-19.3615953541697,2.90183123493541,-9.91289422748497,2.81338704172005,-3.85242991646605,-6.63973613265614
"NAUTICAL.2",9.21447597279607,6.94595568944619,12.2053289401888,8.31837622278832,9.71306074997733,10.6993190295229,12.0667908665479,4.8527447766145,-0.779264760378512,17.5796751915467,14.7873233795819,10.0420778956662,-2.11209251822597,3.6598041451174,5.28376306521253,12.077206883607,4.43831982277158,5.51003259543892,1.46546750247632,6.37555076290442,1.37266291849444,-2.29208516364012,6.86013945002145,-6.00072252384762,9.51950399006754,4.60653718875162,12.8156950280158
"CIVIL.2",11.5806730299794,5.2013708187953,-0.160411363504433,-0.799228535975545,-7.39933482043665,-5.66171068278536,8.15079402372506,2.21528998232991,-10.8984374666147,10.692744261951,3.08454644952022,19.2197039102739,4.88071193635637,15.5154316363354,-11.6002916617365,8.38409350540687,6.20457585771092,13.4429968416583,4.41186129947042,3.22218331726991,-4.29449653220273,-0.571107641012282,1.42382936369328,2.89144502539126,17.5971671605236,4.30996077119788,-8.56407244218295
"AFTER",-29.8459939899104,-27.4978589440092,-14.1003217187217,-90.2671117138765,-28.3405746014001,-22.4004017643603,3.78060965349703,-4.86188443447976,-32.7012262679146,-23.5037795930408,-26.1964669059157,-20.154598513756,-30.2487589942609,-94.1340347620319,-7.68849052779213,-34.7584240695726,-15.4351887748857,-41.9853783873684,-5.28361891555525,-21.1869890003188,-20.1376338410423,-34.2848875227153,4.14599506383594,-98.7296281830399,-14.1849324498136,0.895953499253962,-10.7246410878354
"LAT",-2.13385810266297,-9.29360472559855,-4.81550630330773,-7.29776914959445,-7.21123944298295,-3.93609280913925,-0.903569327747253,-10.7729766968053,-6.08241611813742,-2.46153260633404,-5.83529955709676,-2.50995884041115,-13.0646811587322,-4.14423894142134,-10.3596047914827,-4.26491994999435,-6.79957943037383,-7.98189204935525,-6.93289171049547,-8.84859261613905,-14.015165178805,-9.6478845930807,-7.93410437970526,-10.098621582461,-0.227251896855766,-3.22339335741425,-1.88095393408558
