,ms.coef,ms.SE,ms.LCL,ms.UCL,samplenum,duration
psi(Int),1.049340183,0.477465055,0.113508675,1.985171691,20,3600
p(Int),-0.521030381,0.131072451,-0.777932386,-0.264128376,20,3600
p(tsss.s),-3.880818123,3.546173415,-10.83131802,3.06968177,20,3600
p(tsss.s2),4.165345284,3.744024441,-3.172942621,11.50363319,20,3600
p(latitude),-3.882959458,1.685647454,-7.186828467,-0.579090449,20,3600
p(tsssXlat.s),2.690532584,3.391745873,-3.957289326,9.338354495,20,3600
p(tsss2Xlat.s),-3.030813676,3.634893641,-10.15520521,4.09357786,20,3600
p(ordinal.s),-3.891065516,1.582176887,-6.992132213,-0.789998818,20,3600
p(julianXlat.s),5.059221069,1.985346778,1.167941383,8.950500754,20,3600
p(moon.s),0.072983993,0.138934141,-0.199326923,0.345294908,20,3600
