"","X","samplenum","duration","meanprobdetection","AUC"
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.10min.int.csv",1,1,600,0.0869565217391304,0.904761904761905
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.11min.int.csv",1,4,660,0.130434782608696,0.758333333333333
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.12min.int.csv",1,1,720,0.130434782608696,0.925
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.13min.int.csv",1,4,780,0.130434782608696,0.95
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.14min.int.csv",1,1,840,0.173913043478261,0.782894736842105
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.15min.int.csv",1,1,900,0.0869565217391304,0.857142857142857
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.16min.int.csv",1,1,960,0.0869565217391304,0.821428571428571
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.17min.int.csv",1,1,1020,0.0869565217391304,1
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.18min.int.csv",1,1,1080,0.0434782608695652,0.840909090909091
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.1hour.int.csv",1,1,3600,0.217391304347826,0.583333333333333
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.1min.int.csv",1,1,60,0.0869565217391304,0.952380952380952
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.20min.int.csv",1,1,1200,0.0434782608695652,0.931818181818182
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.2min.int.csv",1,4,120,0.0869565217391304,1
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.3min.int.csv",1,1,180,0.0869565217391304,0.857142857142857
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.4min.int.csv",1,1,240,0.0869565217391304,1
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.5min.int.csv",1,1,300,0.0869565217391304,0.916666666666667
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.6min.int.csv",1,1,360,0.0869565217391304,0.821428571428571
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.7min.int.csv",1,1,420,0.260869565217391,0.441176470588235
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.8min.int.csv",1,4,480,0.0434782608695652,1
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.9min.int.csv",1,1,540,0.0434782608695652,0.909090909090909
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonPeentDetections.10min.int.csv",1,12,600,0.0692640692640693,0.748546511627907
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonPeentDetections.11min.int.csv",1,12,660,0.0735930735930736,0.571605277625069
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonPeentDetections.12min.int.csv",1,12,720,0.0822510822510823,0.67117676266137
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonPeentDetections.13min.int.csv",1,12,780,0.108225108225108,0.732330097087379
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonPeentDetections.14min.int.csv",1,12,840,0.0562770562770563,0.81757233592096
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonPeentDetections.15min.int.csv",1,12,900,0.0822510822510823,0.674155908639523
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonPeentDetections.16min.int.csv",1,12,960,0.0735930735930736,0.867509620670698
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonPeentDetections.17min.int.csv",1,12,1020,0.0909090909090909,0.75907029478458
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonPeentDetections.18min.int.csv",1,12,1080,0.0995670995670996,0.682483277591973
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonPeentDetections.19min.int.csv",1,12,1140,0.0822510822510823,0.712760675273088
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonPeentDetections.1hour.int.csv",1,12,3600,0.186147186147186,0.696190004948046
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonPeentDetections.1min.int.csv",1,12,60,0.025974025974026,0.675555555555556
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonPeentDetections.20min.int.csv",1,12,1200,0.108225108225108,0.61621359223301
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonPeentDetections.2min.int.csv",1,12,120,0.038961038961039,0.5
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonPeentDetections.3min.int.csv",1,12,180,0.0476190476190476,0.647314049586777
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonPeentDetections.4min.int.csv",1,12,240,0.038961038961039,0.5
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonPeentDetections.5min.int.csv",1,12,300,0.0692640692640693,0.885755813953488
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonPeentDetections.6min.int.csv",1,12,360,0.0606060606060606,0.681040157998683
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonPeentDetections.7min.int.csv",1,12,420,0.0692640692640693,0.878633720930233
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonPeentDetections.8min.int.csv",1,12,480,0.0562770562770563,0.771347918136909
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonPeentDetections.9min.int.csv",1,12,540,0.0865800865800866,0.711137440758294
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.10min.int.csv",1,16,600,0.0681818181818182,0.6008793761407
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.11min.int.csv",1,16,660,0.0649350649350649,0.727951388888889
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.12min.int.csv",1,16,720,0.0909090909090909,0.604081632653061
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.13min.int.csv",1,16,780,0.0876623376623377,0.786608672729669
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.14min.int.csv",1,16,840,0.0941558441558442,0.67791373130639
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.15min.int.csv",1,16,900,0.0876623376623377,0.806642941874259
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.16min.int.csv",1,16,960,0.113636363636364,0.609785452642595
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.17min.int.csv",1,16,1020,0.103896103896104,0.66304347826087
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.18min.int.csv",1,16,1080,0.11038961038961,0.64813224559897
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.19min.int.csv",1,16,1140,0.12987012987013,0.639738805970149
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.1hour.int.csv",1,16,3600,0.201298701298701,0.681615525832678
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.1min.int.csv",1,16,60,0.0487012987012987,0.5
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.20min.int.csv",1,16,1200,0.116883116883117,0.74249387254902
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.2min.int.csv",1,16,120,0.0454545454545455,0.704810495626822
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.3min.int.csv",1,16,180,0.0454545454545455,0.564018464528669
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.4min.int.csv",1,16,240,0.0584415584415584,0.824712643678161
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.5min.int.csv",1,16,300,0.0357142857142857,0.651668197122743
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.6min.int.csv",1,16,360,0.0681818181818182,0.737016757922681
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.7min.int.csv",1,16,420,0.0616883116883117,0.65798579493717
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.8min.int.csv",1,16,480,0.0551948051948052,0.746715180917728
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonPeentDetections.9min.int.csv",1,16,540,0.103896103896104,0.722599637681159
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonPeentDetections.10min.int.csv",1,2,600,0.0652173913043478,0.848837209302326
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonPeentDetections.11min.int.csv",1,2,660,0.0869565217391304,0.75
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonPeentDetections.12min.int.csv",1,2,720,0.0217391304347826,0.855555555555556
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonPeentDetections.13min.int.csv",1,2,780,0.0434782608695652,0.704545454545455
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonPeentDetections.14min.int.csv",1,2,840,0.0869565217391304,0.845238095238095
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonPeentDetections.15min.int.csv",1,2,900,0.152173913043478,0.5
