"","X","model","formula","p.Int.","SEp.Int.","p.julian2Xlat.s.","SEp.julian2Xlat.s.","p.julianXlat.s.","SEp.julianXlat.s.","p.latitude.","SEp.latitude.","p.ordinal.s.","SEp.ordinal.s.","p.ordinal.s2.","SEp.ordinal.s2.","p.temp.s.","SEp.temp.s.","p.tsss.s.","SEp.tsss.s.","p.tsss.s2.","SEp.tsss.s2.","p.tsss2Xlat.s.","SEp.tsss2Xlat.s.","p.tsssXlat.s.","SEp.tsssXlat.s.","psi.Int.","SEpsi.Int.","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","samplenum","duration","X.Error.in.as.ms....data.frame.......n..no.method.or.default.for.coercing..try.error..to..data.frame..n."
"1",15,"Temperature","~tsss.s + temp.s ~ 1",-28.321354921647,33.7489306149125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.1997701474783,14.9040430342942,-28.8954688058979,33.5414352122432,NA,NA,NA,NA,NA,NA,-0.125145122127448,1.00695352986233,1,2450.49739970808,2.88397735424839,4,23,13.7679547084968,0,0.253690613205073,NA,0.253690613205073,1,600,NA
"2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,660,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
"
"3",15,"Temperature","~ordinal.s + temp.s ~ 1",-42.4791542397608,58.0581615076162,NA,NA,NA,NA,NA,NA,-15.9364849348681,23.8711020255335,NA,NA,64.1827553909302,89.6085326630318,NA,NA,NA,NA,NA,NA,NA,NA,0.319360745336074,0.935387876115602,1,15369.0897148964,3.76062162364587,4,23,15.5212432472917,0,0.687288439038674,NA,0.687288439038674,1,720,NA
"4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,780,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
"
"5",4,"TSSS.quadratic","~tsss.s + tsss.s2 ~ 1",-2.909529171314,3.781874995333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-61.9428892711121,54.042802168568,68.5651672555865,59.2080319807893,NA,NA,NA,NA,-0.220678218045949,0.701064208847823,1,13913.436548557,6.41342122114789,4,23,20.8268424422958,0,0.323828064110956,NA,0.323828064110956,1,840,NA
"6",5,"TSSS.linearXlat","~tsss.s + latitude + tsssXlat.s ~ 1",-56.2496091915733,NA,NA,NA,NA,NA,82.9210824867541,NA,NA,NA,NA,NA,NA,NA,-7.96654831593244,NA,NA,NA,NA,NA,84.2753477884183,NA,-0.342338928872323,0.910317113760721,1,-8497188455.14309,3.39844126973855,5,23,16.7968825394771,0,0.183290480150948,NA,0.183290480150948,1,900,NA
"7",2,"Latitude","~latitude ~ 1",-3.94738654337598,8.88693609135085,NA,NA,NA,NA,35.1061035243035,58.7488317986496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.18038408961663,0.844573412178454,1,5397.08023074526,4.81588072786822,3,23,15.6317614557364,0,0.199877189026206,NA,0.199877189026206,1,960,NA
"8",15,"Temperature","~latitude + temp.s ~ 1",-79.2039636584794,359.712579196933,NA,NA,NA,NA,12.2285344532657,135.485076582537,NA,NA,NA,NA,48.9594897046226,187.246837513625,NA,NA,NA,NA,NA,NA,NA,NA,12.0652288786908,294.783034137395,1,1849.85677398875,0.00281221196715251,4,23,8.00562442393431,0,0.862280014560388,NA,0.862280014560388,1,1020,NA
"9",7,"Julian.linear","~ordinal.s ~ 1",-18.0734613907063,29.577578637629,NA,NA,NA,NA,NA,NA,-25.9931917177766,41.2188759989049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.40468495919077,1.13311216815896,1,2041.01635949205,2.54422150779019,3,23,11.0884430155804,0,0.175955714081282,NA,0.175955714081282,1,1080,NA
"10",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1140,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
"
"11",4,"TSSS.quadratic","~tsss.s + tsss.s2 ~ 1",9.33920449378423,8.64410137319352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-39.8727539031068,34.6378523728147,41.7621263556618,36.1254302731763,NA,NA,NA,NA,-0.697161788867232,0.552118332401571,1,8495.14615220191,9.65293951924983,4,23,27.3058790384997,0,0.213267221621913,NA,0.213267221621913,1,3600,NA
"12",15,"Temperature","~tsss.s + temp.s ~ 1",-69.5320942539366,72.0479238872962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.6291442269154,17.3050892530939,-58.7567858869859,60.0136665177893,NA,NA,NA,NA,NA,NA,0.668320801731598,1.23417356841498,1,6036.37323324807,2.02714896459014,4,23,12.0542979291803,0,0.225583202016035,NA,0.225583202016035,1,60,NA
"13",7,"Julian.linear","~ordinal.s ~ 1",-40.1387910654081,217.222126405941,NA,NA,NA,NA,NA,NA,-27.8603707483105,155.382222110849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.24818751541107,548.110147346633,0,662726.38746699,2.25026820331838,3,23,10.5005364066368,0,0.178846915860718,NA,0.178846915860718,1,1200,NA
"14",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,120,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
"
"15",4,"TSSS.quadratic","~tsss.s + tsss.s2 ~ 1",-6.88047340039322,10.7071304722294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5365066264907,57.3655100520369,51.4150850018578,67.7178855871864,NA,NA,NA,NA,-0.635145709954884,1.00697742060375,1,10512.4706914271,4.02648647504817,4,23,16.0529729500963,0,0.247947540757627,NA,0.247947540757627,1,180,NA
"16",15,"Temperature","~latitude + temp.s ~ 1",-33.2322400740136,42.6439867475361,NA,NA,NA,NA,18.8640885541833,25.3468796533691,NA,NA,NA,NA,27.5905728031505,36.0180273043511,NA,NA,NA,NA,NA,NA,NA,NA,9.16423745627885,69.3929200334654,1,278.753426978529,0.0301672649995017,4,23,8.060334529999,0,0.80935981787818,NA,0.80935981787818,1,240,NA
"17",15,"Temperature","~ordinal.s + temp.s ~ 1",-30.1518929402322,55.3096036824825,NA,NA,NA,NA,NA,NA,-30.3709388149392,56.2697025699122,NA,NA,47.1200989145755,84.8446464291185,NA,NA,NA,NA,NA,NA,NA,NA,-0.410777387685128,0.913962630666781,1,15877.2601347548,3.37771406522733,4,23,14.7554281304547,0,0.299515278639003,NA,0.299515278639003,1,300,NA
