"","X","samplenum","duration","meanprobdetection","AUC"
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.10min.int.csv",1,1,600,0.0869565217391304,0.5
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.11min.int.csv",1,1,660,0.0434782608695652,0.5
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.12min.int.csv",1,1,720,0.130434782608696,0.5
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.13min.int.csv",1,1,780,0.0434782608695652,0.5
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.14min.int.csv",1,1,840,0.173913043478261,0.333333333333333
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.15min.int.csv",1,1,900,0.0869565217391304,0.333333333333333
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.16min.int.csv",1,1,960,0.0869565217391304,0.333333333333333
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.17min.int.csv",1,1,1020,0.0869565217391304,0.642857142857143
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.18min.int.csv",1,1,1080,0.0434782608695652,0.642857142857143
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.19min.int.csv",1,1,1140,0,0.642857142857143
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.1hour.int.csv",1,1,3600,0.217391304347826,0.65
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.1min.int.csv",1,1,60,0.0869565217391304,1
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.20min.int.csv",1,1,1200,0.0434782608695652,0.714285714285714
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.2min.int.csv",1,1,120,0,0.714285714285714
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.3min.int.csv",1,1,180,0.0869565217391304,0.714285714285714
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonPeentDetections.4min.int.csv",1,1,240,0.0869565217391304,0.714285714285714
