"","X","X.Error.in.as.ms....data.frame.......n..no.method.or.default.for.coercing..try.error..to..data.frame..n.","samplenum","duration","model","formula","p.as.factor.twilightperiod.ASTRONOMICAL.","SEp.as.factor.twilightperiod.ASTRONOMICAL.","p.as.factor.twilightperiod.BEFORE.","SEp.as.factor.twilightperiod.BEFORE.","p.as.factor.twilightperiod.CIVIL.","SEp.as.factor.twilightperiod.CIVIL.","p.as.factor.twilightperiod.NAUTICAL.","SEp.as.factor.twilightperiod.NAUTICAL.","p.as.factor.twilightperiod.NIGHT.","SEp.as.factor.twilightperiod.NIGHT.","p.Int.","SEp.Int.","psi.Int.","SEpsi.Int.","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",1,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",1,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",1,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",1,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",1,840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",1,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",1,960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",1,1020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",1,1080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",1,1140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",1,3600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",1,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",1,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",1,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",1,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",1,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",1,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",1,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",1,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",1,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1,"Error in as(ms, ""data.frame"") : 
  no method or default for coercing “try-error” to “data.frame”
",1,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1,NA,12,600,"Twilight","~as.factor(twilightperiod) ~ 1",-2.01534499135284,1.24760248342591,-0.643968501466036,1.06611966713681,-0.678770734436836,0.894359394050613,-0.554032430383421,0.970603230535494,-0.175164859632912,1.10253175330894,-0.833934808104757,0.712854862704004,-0.410305367917165,0.556386099801197,0,38.6801111087583,46.9609455707315,7,23,107.921891141463,0,1,NA,1
"23",1,NA,12,660,"Twilight","~as.factor(twilightperiod) ~ 1",-2.24689323168526,1.36411907626542,-1.13902121447432,1.23045999882739,-1.85932013428366,1.12273927160148,-1.61542419671921,1.10689956871573,-8.10401316015693,35.2879816543251,-0.151480218934005,0.998687142291033,-0.625424061965641,0.59472237111579,0,11521.7346502913,39.4649438913692,7,23,92.9298877827383,0,1,NA,1
"24",1,NA,12,720,"Twilight","~as.factor(twilightperiod) ~ 1",-0.970272301458715,0.938116366394051,-13.3031216792627,399.34500884319,-1.04923513010307,0.930459405988624,-0.265112218113597,0.90192002977942,-13.2206117650506,397.157106242848,-0.520017023364344,0.777867902843255,-0.415634214961843,0.539387722406678,0,2064023.086054,47.971061034638,7,23,109.942122069276,0,1,NA,1
"25",1,NA,12,780,"Twilight","~as.factor(twilightperiod) ~ 1",-1.35628979574532,0.903874292691331,-1.36239985352275,1.06459104087364,-1.02269578876632,0.884965464247191,-0.640679299287361,0.893058382883174,-1.22453673881182,1.35475737260291,-0.050245366896526,0.709677855600051,-0.410975645167694,0.477410471521553,0,52.0957554721988,55.8795443634502,7,23,125.7590887269,0,1,NA,1
"26",1,NA,12,840,"Twilight","~as.factor(twilightperiod) ~ 1",0.0768597810391766,1.29762671369913,0.269571247183134,1.56446201293385,0.00540320402298924,1.29812413417432,0.814275363304366,1.21433639333247,-9.60566495241151,134.376782783468,-2.3095889018577,1.10794818509058,-0.0459649384277107,0.836480999109605,0,162274.274092818,36.9960217155944,7,23,87.9920434311888,0,1,NA,1
